pop,depth,cell.type,cell.type.idx,batch
5_2,1.44723618090452,5_2,2,2
4_1,1.44792973651192,4_1_2,5,2
5_2,1.44221105527638,5_2,2,2
5_2,1.43969849246231,5_2,2,2
5_2,1.43467336683417,5_2,2,2
5_2,1.4321608040201,5_2,2,2
5_3,1.42713567839196,5_3,3,2
4_1,1.41781681304893,4_1_2,5,2
4_1,1.41279799247177,4_1_2,5,2
5_2,1.40201005025126,5_2,2,2
5_2,1.3894472361809,5_2,2,2
4_1,1.38268506900878,4_1_2,5,2
5_2,1.37688442211055,5_2,2,2
5_3,1.37437185929648,5_3,3,2
5_2,1.3643216080402,5_2,2,2
5_2,1.35929648241206,5_2,2,2
5_2,1.35678391959799,5_2,2,2
4_1,1.35759096612296,4_1_2,5,2
5_3,1.3391959798995,5_3,3,2
5_2,1.32412060301508,5_2,2,2
4_1,1.32496863237139,4_1_2,5,2
5_2,1.31909547738693,5_2,2,2
5_3,1.31155778894472,5_3,3,2
5_3,1.30653266331658,5_3,3,2
5_2,1.2964824120603,5_2,2,2
5_3,1.26884422110553,5_3,3,2
4_1,1.26474278544542,4_1_2,5,2
4_1,1.26223337515684,4_1_2,5,2
4_1,1.25972396486826,4_1_2,5,2
5_3,1.24623115577889,5_3,3,2
5_3,1.24371859296482,5_3,3,2
5_2,1.24120603015075,5_2,2,2
4_1,1.2396486825596,4_1_2,5,2
5_3,1.23115577889447,5_3,3,2
4_1,1.22710163111669,4_1_2,5,2
5_3,1.21105527638191,5_3,3,2
5_2,1.20603015075377,5_2,2,2
4_1,1.19196988707654,4_1_2,5,2
4_1,1.18193224592221,4_1_2,5,2
5_2,1.15326633165829,5_2,2,2
5_2,1.14321608040201,5_2,2,2
4_1,1.14429109159348,4_1_2,5,2
5_3,1.13316582914573,5_3,3,2
5_3,1.12814070351759,5_3,3,2
5_2,1.12562814070352,5_2,2,2
5_2,1.11809045226131,5_2,2,2
5_2,1.11306532663317,5_2,2,2
4_1,1.11166875784191,4_1_2,5,2
5_2,1.10552763819095,5_2,2,2
4_1,1.10163111668758,4_1_2,5,2
4_1,1.07904642409034,4_1_2,5,2
5_2,1.04522613065327,5_2,2,2
5_2,1.03517587939698,5_2,2,2
4_1,1.03136762860728,4_1_2,5,2
4_1,1.02383939774153,4_1_2,5,2
5_2,1.01507537688442,5_2,2,2
5_3,1.01005025125628,5_3,3,2
4_1,1.00878293601004,4_1_2,5,2
5_3,1,5_3,3,2
4_1,0.998745294855709,4_1_2,5,2
4_5,0.992462311557789,4_5,1,2
4_5,0.982412060301508,4_5,1,2
4_5,0.979899497487437,4_5,1,2
4_5,0.972361809045226,4_5,1,2
4_1,0.968632371392723,4_1_1,4,2
4_5,0.967336683417085,4_5,1,2
4_1,0.961104140526976,4_1_1,4,2
4_5,0.959798994974874,4_5,1,2
4_1,0.956085319949812,4_1_1,4,2
4_5,0.942211055276382,4_5,1,2
4_1,0.936010037641154,4_1_1,4,2
4_5,0.92964824120603,4_5,1,2
4_5,0.914572864321608,4_5,1,2
4_5,0.912060301507538,4_5,1,2
4_5,0.909547738693467,4_5,1,2
4_1,0.898368883312421,4_1_1,4,2
4_1,0.890840652446675,4_1_1,4,2
4_5,0.889447236180904,4_5,1,2
4_5,0.886934673366834,4_5,1,2
4_5,0.864321608040201,4_5,1,2
4_5,0.861809045226131,4_5,1,2
4_5,0.85929648241206,4_5,1,2
4_5,0.85678391959799,4_5,1,2
4_5,0.824120603015075,4_5,1,2
4_1,0.820577164366374,4_1_1,4,2
4_5,0.814070351758794,4_5,1,2
4_5,0.778894472361809,4_5,1,2
4_5,0.758793969849246,4_5,1,2
4_1,0.752823086574655,4_1_1,4,2
4_5,0.746231155778894,4_5,1,2
4_1,0.732747804265997,4_1_1,4,2
4_1,0.720200752823086,4_1_1,4,2
4_5,0.71608040201005,4_5,1,2
4_5,0.701005025125628,4_5,1,2
4_5,0.698492462311558,4_5,1,2
4_5,0.690954773869347,4_5,1,2
4_5,0.685929648241206,4_5,1,2
4_1,0.672521957340025,4_1_1,4,2
4_5,0.668341708542714,4_5,1,2
4_1,0.657465495608532,4_1_1,4,2
4_5,0.655778894472362,4_5,1,2
4_5,0.64572864321608,4_5,1,2
4_5,0.64321608040201,4_5,1,2
4_1,0.634880803011292,4_1_1,4,2
4_1,0.63237139272271,4_1_1,4,2
4_5,0.613065326633166,4_5,1,2
4_5,0.610552763819096,4_5,1,2
4_5,0.585427135678392,4_5,1,2
4_5,0.57286432160804,4_5,1,2
4_5,0.557788944723618,4_5,1,2
4_5,0.550251256281407,4_5,1,2
4_1,0.544542032622334,4_1_1,4,2
4_5,0.542713567839196,4_5,1,2
4_5,0.535175879396985,4_5,1,2
4_5,0.530150753768844,4_5,1,2
4_5,0.525125628140704,4_5,1,2
4_5,0.520100502512563,4_5,1,2
4_5,0.512562814070352,4_5,1,2
4_5,0.510050251256281,4_5,1,2
4_5,0.507537688442211,4_5,1,2
4_5,0.505025125628141,4_5,1,2
4_1,0.49435382685069,4_1_1,4,2
4_1,0.476787954830615,4_1_1,4,2
4_1,0.47176913425345,4_1_1,4,2
4_1,0.464240903387704,4_1_1,4,2
4_1,0.451693851944793,4_1_1,4,2
4_1,0.441656210790464,4_1_1,4,2
4_5,0.439698492462312,4_5,1,2
4_5,0.437185929648241,4_5,1,2
4_5,0.4321608040201,4_5,1,2
4_5,0.409547738693467,4_5,1,2
4_5,0.407035175879397,4_5,1,2
4_5,0.404522613065327,4_5,1,2
4_1,0.396486825595985,4_1_1,4,2
4_1,0.383939774153074,4_1_1,4,2
4_5,0.379396984924623,4_5,1,2
4_1,0.368883312421581,4_1_1,4,2
4_5,0.35678391959799,4_5,1,2
4_5,0.349246231155779,4_5,1,2
4_5,0.341708542713568,4_5,1,2
4_5,0.321608040201005,4_5,1,2
4_1,0.318695106649937,4_1_1,4,2
4_5,0.316582914572864,4_5,1,2
4_5,0.314070351758794,4_5,1,2
4_5,0.311557788944724,4_5,1,2
4_1,0.306148055207026,4_1_1,4,2
4_1,0.303638644918444,4_1_1,4,2
4_5,0.301507537688442,4_5,1,2
4_5,0.28894472361809,4_5,1,2
4_5,0.278894472361809,4_5,1,2
4_5,0.271356783919598,4_5,1,2
4_1,0.268506900878294,4_1_1,4,2
4_1,0.263488080301129,4_1_1,4,2
4_5,0.261306532663317,4_5,1,2
4_5,0.231155778894472,4_5,1,2
4_1,0.228356336260979,4_1_1,4,2
4_5,0.226130653266332,4_5,1,2
4_5,0.21608040201005,4_5,1,2
4_5,0.21105527638191,4_5,1,2
4_5,0.206030150753769,4_5,1,2
4_5,0.195979899497487,4_5,1,2
4_1,0.193224592220828,4_1_1,4,2
4_1,0.190715181932246,4_1_1,4,2
4_1,0.188205771643664,4_1_1,4,2
4_1,0.185696361355082,4_1_1,4,2
4_1,0.183186951066499,4_1_1,4,2
4_5,0.180904522613065,4_5,1,2
4_5,0.168341708542714,4_5,1,2
4_5,0.150753768844221,4_5,1,2
4_5,0.148241206030151,4_5,1,2
4_5,0.14321608040201,4_5,1,2
4_5,0.138190954773869,4_5,1,2
4_1,0.132998745294856,4_1_1,4,2
4_5,0.130653266331658,4_5,1,2
4_5,0.125628140703518,4_5,1,2
4_5,0.115577889447236,4_5,1,2
4_5,0.113065326633166,4_5,1,2
4_5,0.108040201005025,4_5,1,2
4_5,0.100502512562814,4_5,1,2
4_5,0.0753768844221106,4_5,1,2
4_1,0.0727728983688833,4_1_1,4,2
4_1,0.0702634880803011,4_1_1,4,2
4_5,0.0552763819095477,4_5,1,2
4_1,0.0476787954830615,4_1_1,4,2
4_1,0.0351317440401506,4_1_1,4,2
4_5,0.0301507537688442,4_5,1,2
4_5,0.0276381909547739,4_5,1,2
4_5,0.0050251256281407,4_5,1,2
4_5,0.00251256281407035,4_5,1,2
