,pop,depth,cell.type,cell.type.idx,batch
cell44,5_2,1.89447236180905,5_2,2,1
cell45,5_2,1.89195979899498,5_2,2,2
cell46,5_2,1.8894472361809,5_2,2,2
cell47,4_1,1.88958594730238,4_1_2,5,1
cell48,4_1,1.8870765370138,4_1_2,5,3
cell49,5_2,1.88190954773869,5_2,2,3
cell50,4_1,1.88205771643664,4_1_2,5,3
cell51,5_2,1.87688442211055,5_2,2,3
cell52,5_2,1.87437185929648,5_2,2,1
cell53,4_1,1.87452948557089,4_1_2,5,1
cell54,5_3,1.86934673366834,5_3,3,1
cell55,5_3,1.86683417085427,5_3,3,3
cell56,5_3,1.8643216080402,5_3,3,3
cell57,5_3,1.86180904522613,5_3,3,2
cell58,5_3,1.85929648241206,5_3,3,3
cell59,5_3,1.85678391959799,5_3,3,1
cell60,5_2,1.85427135678392,5_2,2,3
cell61,5_2,1.85175879396985,5_2,2,1
cell62,5_2,1.84924623115578,5_2,2,1
cell63,5_2,1.84673366834171,5_2,2,3
cell64,5_3,1.84422110552764,5_3,3,1
cell65,4_1,1.8444165621079,4_1_2,5,3
cell66,4_1,1.84190715181932,4_1_2,5,1
cell67,5_3,1.83668341708543,5_3,3,2
cell68,5_2,1.83417085427136,5_2,2,2
cell69,4_1,1.83437892095358,4_1_2,5,3
cell70,5_3,1.82914572864322,5_3,3,1
cell71,5_2,1.82663316582915,5_2,2,1
cell72,4_1,1.82685069008783,4_1_2,5,2
cell73,4_1,1.82434127979925,4_1_2,5,1
cell74,5_3,1.81909547738693,5_3,3,2
cell75,4_1,1.81932245922208,4_1_2,5,1
cell76,4_1,1.8168130489335,4_1_2,5,3
cell77,5_2,1.81155778894472,5_2,2,2
cell78,5_2,1.80904522613065,5_2,2,1
cell79,5_3,1.80653266331658,5_3,3,3
cell80,4_1,1.80677540777917,4_1_2,5,3
cell81,5_3,1.80150753768844,5_3,3,1
cell82,4_1,1.80175658720201,4_1_2,5,1
cell83,5_2,1.7964824120603,5_2,2,3
cell84,5_3,1.79396984924623,5_3,3,2
cell85,5_3,1.79145728643216,5_3,3,2
cell86,5_2,1.78894472361809,5_2,2,3
cell87,5_3,1.78643216080402,5_3,3,1
cell88,5_2,1.78391959798995,5_2,2,1
cell89,4_1,1.78419071518193,4_1_2,5,3
cell90,5_3,1.77889447236181,5_3,3,1
cell91,5_2,1.77638190954774,5_2,2,1
cell92,5_2,1.77386934673367,5_2,2,3
cell93,5_2,1.7713567839196,5_2,2,2
cell94,5_2,1.76884422110553,5_2,2,3
cell95,5_3,1.76633165829146,5_3,3,1
cell96,5_2,1.76381909547739,5_2,2,2
cell97,5_3,1.76130653266332,5_3,3,1
cell98,5_3,1.75879396984925,5_3,3,1
cell99,5_2,1.75628140703518,5_2,2,3
cell100,5_2,1.75376884422111,5_2,2,2
cell101,5_3,1.75125628140704,5_3,3,3
cell102,5_3,1.74874371859296,5_3,3,3
cell103,4_1,1.74905897114178,4_1_2,5,1
cell104,5_3,1.74371859296482,5_3,3,2
cell105,4_1,1.74404015056462,4_1_2,5,3
cell106,4_1,1.74153074027603,4_1_2,5,2
cell107,5_2,1.73618090452261,5_2,2,2
cell108,5_2,1.73366834170854,5_2,2,2
cell109,5_2,1.73115577889447,5_2,2,1
cell110,5_2,1.7286432160804,5_2,2,1
cell111,5_3,1.72613065326633,5_3,3,3
cell112,5_2,1.72361809045226,5_2,2,2
cell113,5_3,1.72110552763819,5_3,3,3
cell114,5_3,1.71859296482412,5_3,3,1
cell115,5_3,1.71608040201005,5_3,3,3
cell116,5_3,1.71356783919598,5_3,3,1
cell117,4_1,1.71392722710163,4_1_2,5,1
cell118,5_3,1.70854271356784,5_3,3,3
cell119,5_3,1.70603015075377,5_3,3,3
cell120,5_2,1.7035175879397,5_2,2,2
cell121,4_1,1.7038895859473,4_1_2,5,1
cell122,4_1,1.70138017565872,4_1_2,5,1
cell123,4_1,1.69887076537014,4_1_2,5,1
cell124,4_1,1.69636135508156,4_1_2,5,1
cell125,5_2,1.69095477386935,5_2,2,1
cell126,5_3,1.68844221105528,5_3,3,1
cell127,5_3,1.68592964824121,5_3,3,3
cell128,5_2,1.68341708542714,5_2,2,1
cell129,5_3,1.68090452261307,5_3,3,3
cell130,5_2,1.67839195979899,5_2,2,2
cell131,5_3,1.67587939698492,5_3,3,3
cell132,5_3,1.67336683417085,5_3,3,3
cell133,5_3,1.67085427135678,5_3,3,3
cell134,4_1,1.67126725219573,4_1_2,5,3
cell135,5_2,1.66582914572864,5_2,2,3
cell136,5_2,1.66331658291457,5_2,2,3
cell137,5_2,1.6608040201005,5_2,2,3
cell138,4_1,1.66122961104141,4_1_2,5,1
cell139,5_2,1.65577889447236,5_2,2,1
cell140,5_2,1.65326633165829,5_2,2,2
cell141,5_2,1.65075376884422,5_2,2,2
cell142,5_2,1.64824120603015,5_2,2,3
cell143,5_3,1.64572864321608,5_3,3,1
cell144,5_3,1.64321608040201,5_3,3,3
cell145,4_1,1.64366373902133,4_1_2,5,3
cell146,5_3,1.63819095477387,5_3,3,2
cell147,5_2,1.6356783919598,5_2,2,2
cell148,5_3,1.63316582914573,5_3,3,2
cell149,4_1,1.633626097867,4_1_2,5,3
cell150,5_3,1.62814070351759,5_3,3,2
cell151,4_1,1.62860727728984,4_1_2,5,2
cell152,5_2,1.62311557788945,5_2,2,2
cell153,5_3,1.62060301507538,5_3,3,1
cell154,4_1,1.62107904642409,4_1_2,5,2
cell155,4_1,1.61856963613551,4_1_2,5,2
cell156,5_2,1.61306532663317,5_2,2,1
cell157,5_3,1.6105527638191,5_3,3,3
cell158,4_1,1.61104140526976,4_1_2,5,2
cell159,4_1,1.60853199498118,4_1_2,5,1
cell160,5_2,1.60301507537688,5_2,2,3
cell161,4_1,1.60351317440401,4_1_2,5,2
cell162,5_2,1.59798994974874,5_2,2,2
cell163,5_2,1.59547738693467,5_2,2,3
cell164,5_2,1.5929648241206,5_2,2,2
cell165,5_3,1.59045226130653,5_3,3,1
cell166,5_3,1.58793969849246,5_3,3,2
cell167,5_3,1.58542713567839,5_3,3,3
cell168,5_3,1.58291457286432,5_3,3,2
cell169,4_1,1.58343789209536,4_1_2,5,2
cell170,5_3,1.57788944723618,5_3,3,3
cell171,4_1,1.57841907151819,4_1_2,5,3
cell172,4_1,1.57590966122961,4_1_2,5,2
cell173,5_2,1.57035175879397,5_2,2,3
cell174,5_3,1.5678391959799,5_3,3,3
cell175,5_2,1.56532663316583,5_2,2,3
cell176,5_3,1.56281407035176,5_3,3,3
cell177,5_2,1.56030150753769,5_2,2,3
cell178,4_1,1.56085319949812,4_1_2,5,3
cell179,5_3,1.55527638190955,5_3,3,3
cell180,4_1,1.55583437892095,4_1_2,5,3
cell181,5_2,1.55025125628141,5_2,2,3
cell182,5_3,1.54773869346734,5_3,3,3
cell183,5_2,1.54522613065327,5_2,2,3
cell184,4_1,1.54579673776662,4_1_2,5,2
cell185,5_2,1.54020100502513,5_2,2,1
cell186,5_3,1.53768844221106,5_3,3,1
cell187,4_1,1.53826850690088,4_1_2,5,1
cell188,4_1,1.5357590966123,4_1_2,5,3
cell189,5_3,1.53015075376884,5_3,3,1
cell190,4_1,1.53074027603513,4_1_2,5,3
cell191,5_2,1.5251256281407,5_2,2,3
cell192,4_1,1.52572145545797,4_1_2,5,2
cell193,4_1,1.52321204516939,4_1_2,5,2
cell194,5_2,1.51758793969849,5_2,2,3
cell195,5_2,1.51507537688442,5_2,2,3
cell196,5_2,1.51256281407035,5_2,2,1
cell197,4_1,1.51317440401506,4_1_2,5,1
cell198,4_1,1.51066499372647,4_1_2,5,2
cell199,5_3,1.50502512562814,5_3,3,1
cell200,5_2,1.50251256281407,5_2,2,1
cell201,4_1,1.50313676286073,4_1_2,5,3
cell202,5_3,1.49748743718593,5_3,3,1
cell203,5_2,1.49497487437186,5_2,2,1
cell204,5_2,1.49246231155779,5_2,2,1
cell205,5_3,1.48994974874372,5_3,3,2
cell206,5_3,1.48743718592965,5_3,3,2
cell207,4_1,1.48808030112923,4_1_2,5,1
cell208,5_3,1.48241206030151,5_3,3,2
cell209,4_1,1.48306148055207,4_1_2,5,3
cell210,5_3,1.47738693467337,5_3,3,3
cell211,5_3,1.4748743718593,5_3,3,2
cell212,4_1,1.47553324968632,4_1_2,5,3
cell213,4_1,1.47302383939774,4_1_2,5,3
cell214,5_3,1.46733668341709,5_3,3,1
cell215,5_2,1.46482412060302,5_2,2,3
cell216,5_3,1.46231155778894,5_3,3,2
cell217,5_2,1.45979899497487,5_2,2,3
cell218,4_1,1.46047678795483,4_1_2,5,3
cell219,5_3,1.45477386934673,5_3,3,2
cell220,5_3,1.45226130653266,5_3,3,1
cell221,5_2,1.44974874371859,5_2,2,3
cell222,5_2,1.44723618090452,5_2,2,2
cell223,4_1,1.44792973651192,4_1_2,5,2
cell224,5_2,1.44221105527638,5_2,2,2
cell225,5_2,1.43969849246231,5_2,2,2
cell226,5_2,1.43718592964824,5_2,2,1
cell227,5_2,1.43467336683417,5_2,2,2
cell228,5_2,1.4321608040201,5_2,2,2
cell229,4_1,1.43287327478043,4_1_2,5,3
cell230,5_3,1.42713567839196,5_3,3,2
cell231,4_1,1.42785445420326,4_1_2,5,3
cell232,5_3,1.42211055276382,5_3,3,1
cell233,4_1,1.4228356336261,4_1_2,5,3
cell234,5_2,1.41708542713568,5_2,2,3
cell235,4_1,1.41781681304893,4_1_2,5,2
cell236,5_3,1.41206030150754,5_3,3,3
cell237,4_1,1.41279799247177,4_1_2,5,2
cell238,5_3,1.4070351758794,5_3,3,3
cell239,5_2,1.40452261306533,5_2,2,3
cell240,5_2,1.40201005025126,5_2,2,2
cell241,4_1,1.40276035131744,4_1_2,5,1
cell242,4_1,1.40025094102886,4_1_2,5,3
cell243,5_2,1.39447236180905,5_2,2,3
cell244,4_1,1.39523212045169,4_1_2,5,3
cell245,5_2,1.3894472361809,5_2,2,2
cell246,5_3,1.38693467336683,5_3,3,3
cell247,5_2,1.38442211055276,5_2,2,1
cell248,5_3,1.38190954773869,5_3,3,3
cell249,4_1,1.38268506900878,4_1_2,5,2
cell250,5_2,1.37688442211055,5_2,2,2
cell251,5_3,1.37437185929648,5_3,3,2
cell252,5_2,1.37185929648241,5_2,2,1
cell253,4_1,1.37264742785445,4_1_2,5,1
cell254,5_3,1.36683417085427,5_3,3,1
cell255,5_2,1.3643216080402,5_2,2,2
cell256,5_3,1.36180904522613,5_3,3,1
cell257,5_2,1.35929648241206,5_2,2,2
cell258,5_2,1.35678391959799,5_2,2,2
cell259,4_1,1.35759096612296,4_1_2,5,2
cell260,5_3,1.35175879396985,5_3,3,3
cell261,4_1,1.3525721455458,4_1_2,5,3
cell262,5_3,1.34673366834171,5_3,3,1
cell263,5_2,1.34422110552764,5_2,2,1
cell264,5_2,1.34170854271357,5_2,2,3
cell265,5_3,1.3391959798995,5_3,3,2
cell266,5_2,1.33668341708543,5_2,2,3
cell267,4_1,1.3375156838143,4_1_2,5,3
cell268,5_3,1.33165829145729,5_3,3,1
cell269,5_2,1.32914572864322,5_2,2,1
cell270,4_1,1.32998745294856,4_1_2,5,1
cell271,5_2,1.32412060301508,5_2,2,2
cell272,4_1,1.32496863237139,4_1_2,5,2
cell273,5_2,1.31909547738693,5_2,2,2
cell274,4_1,1.31994981179423,4_1_2,5,1
cell275,5_2,1.31407035175879,5_2,2,1
cell276,5_3,1.31155778894472,5_3,3,2
cell277,5_3,1.30904522613065,5_3,3,3
cell278,5_3,1.30653266331658,5_3,3,2
cell279,5_3,1.30402010050251,5_3,3,1
cell280,4_1,1.30489335006274,4_1_2,5,3
cell281,5_3,1.29899497487437,5_3,3,1
cell282,5_2,1.2964824120603,5_2,2,2
cell283,4_1,1.29736511919699,4_1_2,5,1
cell284,5_2,1.29145728643216,5_2,2,1
cell285,5_3,1.28894472361809,5_3,3,3
cell286,4_1,1.28983688833124,4_1_2,5,1
cell287,5_3,1.28391959798995,5_3,3,3
cell288,5_3,1.28140703517588,5_3,3,3
cell289,5_2,1.27889447236181,5_2,2,1
cell290,4_1,1.27979924717691,4_1_2,5,1
cell291,5_3,1.27386934673367,5_3,3,3
cell292,4_1,1.27478042659975,4_1_2,5,1
cell293,5_3,1.26884422110553,5_3,3,2
cell294,5_3,1.26633165829146,5_3,3,1
cell295,4_1,1.267252195734,4_1_2,5,3
cell296,4_1,1.26474278544542,4_1_2,5,2
cell297,4_1,1.26223337515684,4_1_2,5,2
cell298,4_1,1.25972396486826,4_1_2,5,2
cell299,5_3,1.25376884422111,5_3,3,3
cell300,5_3,1.25125628140704,5_3,3,3
cell301,5_2,1.24874371859296,5_2,2,3
cell302,5_3,1.24623115577889,5_3,3,2
cell303,5_3,1.24371859296482,5_3,3,2
cell304,5_2,1.24120603015075,5_2,2,2
cell305,5_3,1.23869346733668,5_3,3,1
cell306,4_1,1.2396486825596,4_1_2,5,2
cell307,5_3,1.23366834170854,5_3,3,3
cell308,5_3,1.23115577889447,5_3,3,2
cell309,5_3,1.2286432160804,5_3,3,3
cell310,5_3,1.22613065326633,5_3,3,3
cell311,4_1,1.22710163111669,4_1_2,5,2
cell312,5_2,1.22110552763819,5_2,2,3
cell313,5_3,1.21859296482412,5_3,3,1
cell314,4_1,1.21957340025094,4_1_2,5,1
cell315,4_1,1.21706398996236,4_1_2,5,3
cell316,5_3,1.21105527638191,5_3,3,2
cell317,4_1,1.21204516938519,4_1_2,5,1
cell318,5_2,1.20603015075377,5_2,2,2
cell319,5_3,1.2035175879397,5_3,3,3
cell320,5_3,1.20100502512563,5_3,3,3
cell321,5_2,1.19849246231156,5_2,2,3
cell322,5_3,1.19597989949749,5_3,3,1
cell323,5_2,1.19346733668342,5_2,2,3
cell324,4_1,1.19447929736512,4_1_2,5,1
cell325,4_1,1.19196988707654,4_1_2,5,2
cell326,5_2,1.18592964824121,5_2,2,1
cell327,5_2,1.18341708542714,5_2,2,3
cell328,5_2,1.18090452261307,5_2,2,3
cell329,4_1,1.18193224592221,4_1_2,5,2
cell330,5_3,1.17587939698492,5_3,3,3
cell331,4_1,1.17691342534504,4_1_2,5,1
cell332,5_3,1.17085427135678,5_3,3,1
cell333,5_3,1.16834170854271,5_3,3,1
cell334,4_1,1.1693851944793,4_1_2,5,3
cell335,5_3,1.16331658291457,5_3,3,1
cell336,5_3,1.1608040201005,5_3,3,1
cell337,5_2,1.15829145728643,5_2,2,3
cell338,4_1,1.15934755332497,4_1_2,5,3
cell339,5_2,1.15326633165829,5_2,2,2
cell340,5_2,1.15075376884422,5_2,2,1
cell341,4_1,1.15181932245922,4_1_2,5,3
cell342,5_3,1.14572864321608,5_3,3,1
cell343,5_2,1.14321608040201,5_2,2,2
cell344,4_1,1.14429109159348,4_1_2,5,2
cell345,4_1,1.14178168130489,4_1_2,5,1
cell346,4_1,1.13927227101631,4_1_2,5,3
cell347,5_3,1.13316582914573,5_3,3,2
cell348,4_1,1.13425345043915,4_1_2,5,1
cell349,5_3,1.12814070351759,5_3,3,2
cell350,5_2,1.12562814070352,5_2,2,2
cell351,5_3,1.12311557788945,5_3,3,1
cell352,4_1,1.12421580928482,4_1_2,5,1
cell353,5_2,1.11809045226131,5_2,2,2
cell354,5_2,1.11557788944724,5_2,2,1
cell355,5_2,1.11306532663317,5_2,2,2
cell356,4_1,1.11417816813049,4_1_2,5,3
cell357,4_1,1.11166875784191,4_1_2,5,2
cell358,5_2,1.10552763819095,5_2,2,2
cell359,4_1,1.10664993726474,4_1_2,5,3
cell360,5_2,1.10050251256281,5_2,2,3
cell361,4_1,1.10163111668758,4_1_2,5,2
cell362,5_3,1.09547738693467,5_3,3,3
cell363,5_3,1.0929648241206,5_3,3,3
cell364,4_1,1.09410288582183,4_1_2,5,1
cell365,5_3,1.08793969849246,5_3,3,1
cell366,5_2,1.08542713567839,5_2,2,3
cell367,5_2,1.08291457286432,5_2,2,1
cell368,5_2,1.08040201005025,5_2,2,3
cell369,4_1,1.08155583437892,4_1_2,5,3
cell370,4_1,1.07904642409034,4_1_2,5,2
cell371,5_2,1.07286432160804,5_2,2,3
cell372,5_2,1.07035175879397,5_2,2,3
cell373,5_3,1.0678391959799,5_3,3,3
cell374,5_2,1.06532663316583,5_2,2,1
cell375,4_1,1.06649937264743,4_1_2,5,3
cell376,4_1,1.06398996235885,4_1_2,5,3
cell377,5_3,1.05778894472362,5_3,3,1
cell378,5_2,1.05527638190955,5_2,2,3
cell379,4_1,1.0564617314931,4_1_2,5,3
cell380,5_3,1.05025125628141,5_3,3,3
cell381,4_1,1.05144291091593,4_1_2,5,3
cell382,5_2,1.04522613065327,5_2,2,2
cell383,5_2,1.0427135678392,5_2,2,3
cell384,4_1,1.04391468005019,4_1_2,5,1
cell385,4_1,1.04140526976161,4_1_2,5,1
cell386,5_2,1.03517587939698,5_2,2,2
cell387,5_3,1.03266331658291,5_3,3,3
cell388,5_2,1.03015075376884,5_2,2,1
cell389,4_1,1.03136762860728,4_1_2,5,2
cell390,5_2,1.0251256281407,5_2,2,3
cell391,5_2,1.02261306532663,5_2,2,1
cell392,4_1,1.02383939774153,4_1_2,5,2
cell393,5_3,1.01758793969849,5_3,3,1
cell394,5_2,1.01507537688442,5_2,2,2
cell395,5_2,1.01256281407035,5_2,2,1
cell396,5_3,1.01005025125628,5_3,3,2
cell397,4_1,1.01129234629862,4_1_2,5,3
cell398,4_1,1.00878293601004,4_1_2,5,2
cell399,5_2,1.00251256281407,5_2,2,3
cell400,5_3,1,5_3,3,2
cell401,4_5,1,4_5,1,3
cell402,4_1,0.998745294855709,4_1_2,5,2
cell403,4_5,0.99748743718593,4_5,1,1
cell404,4_5,0.994974874371859,4_5,1,3
cell405,4_5,0.992462311557789,4_5,1,2
cell406,4_5,0.989949748743719,4_5,1,3
cell407,4_1,0.986198243412798,4_1_1,4,1
cell408,4_1,0.983688833124216,4_1_1,4,3
cell409,4_5,0.982412060301508,4_5,1,2
cell410,4_5,0.979899497487437,4_5,1,2
cell411,4_1,0.976160602258469,4_1_1,4,3
cell412,4_5,0.974874371859296,4_5,1,1
cell413,4_5,0.972361809045226,4_5,1,2
cell414,4_1,0.968632371392723,4_1_1,4,2
cell415,4_5,0.967336683417085,4_5,1,2
cell416,4_1,0.963613550815558,4_1_1,4,1
cell417,4_1,0.961104140526976,4_1_1,4,2
cell418,4_5,0.959798994974874,4_5,1,2
cell419,4_1,0.956085319949812,4_1_1,4,2
cell420,4_1,0.95357590966123,4_1_1,4,3
cell421,4_5,0.952261306532663,4_5,1,1
cell422,4_1,0.948557089084065,4_1_1,4,1
cell423,4_5,0.947236180904523,4_5,1,1
cell424,4_5,0.944723618090452,4_5,1,3
cell425,4_5,0.942211055276382,4_5,1,2
cell426,4_5,0.939698492462312,4_5,1,3
cell427,4_1,0.936010037641154,4_1_1,4,2
cell428,4_5,0.934673366834171,4_5,1,1
cell429,4_5,0.9321608040201,4_5,1,1
cell430,4_5,0.92964824120603,4_5,1,2
cell431,4_5,0.92713567839196,4_5,1,3
cell432,4_5,0.924623115577889,4_5,1,3
cell433,4_5,0.922110552763819,4_5,1,1
cell434,4_5,0.919597989949749,4_5,1,3
cell435,4_1,0.915934755332497,4_1_1,4,3
cell436,4_5,0.914572864321608,4_5,1,2
cell437,4_5,0.912060301507538,4_5,1,2
cell438,4_5,0.909547738693467,4_5,1,2
cell439,4_1,0.905897114178168,4_1_1,4,1
cell440,4_1,0.903387703889586,4_1_1,4,1
cell441,4_5,0.902010050251256,4_5,1,1
cell442,4_1,0.898368883312421,4_1_1,4,2
cell443,4_5,0.896984924623116,4_5,1,3
cell444,4_5,0.894472361809045,4_5,1,1
cell445,4_1,0.890840652446675,4_1_1,4,2
cell446,4_5,0.889447236180904,4_5,1,2
cell447,4_5,0.886934673366834,4_5,1,2
cell448,4_1,0.883312421580928,4_1_1,4,3
cell449,4_1,0.880803011292346,4_1_1,4,1
cell450,4_1,0.878293601003764,4_1_1,4,3
cell451,4_1,0.875784190715182,4_1_1,4,1
cell452,4_5,0.874371859296482,4_5,1,1
cell453,4_1,0.870765370138017,4_1_1,4,1
cell454,4_1,0.868255959849435,4_1_1,4,3
cell455,4_5,0.866834170854271,4_5,1,3
cell456,4_5,0.864321608040201,4_5,1,2
cell457,4_5,0.861809045226131,4_5,1,2
cell458,4_5,0.85929648241206,4_5,1,2
cell459,4_5,0.85678391959799,4_5,1,2
cell460,4_5,0.85427135678392,4_5,1,3
cell461,4_5,0.851758793969849,4_5,1,3
cell462,4_1,0.848180677540778,4_1_1,4,3
cell463,4_1,0.845671267252196,4_1_1,4,1
cell464,4_1,0.843161856963613,4_1_1,4,3
cell465,4_5,0.841708542713568,4_5,1,3
cell466,4_5,0.839195979899497,4_5,1,1
cell467,4_5,0.836683417085427,4_5,1,1
cell468,4_5,0.834170854271357,4_5,1,3
cell469,4_1,0.830614805520703,4_1_1,4,1
cell470,4_1,0.82810539523212,4_1_1,4,3
cell471,4_5,0.826633165829146,4_5,1,1
cell472,4_5,0.824120603015075,4_5,1,2
cell473,4_1,0.820577164366374,4_1_1,4,2
cell474,4_5,0.819095477386935,4_5,1,3
cell475,4_1,0.815558343789209,4_1_1,4,1
cell476,4_5,0.814070351758794,4_5,1,2
cell477,4_1,0.810539523212045,4_1_1,4,1
cell478,4_5,0.809045226130653,4_5,1,3
cell479,4_1,0.805520702634881,4_1_1,4,3
cell480,4_1,0.803011292346299,4_1_1,4,3
cell481,4_5,0.801507537688442,4_5,1,3
cell482,4_1,0.797992471769134,4_1_1,4,3
cell483,4_5,0.796482412060302,4_5,1,3
cell484,4_1,0.79297365119197,4_1_1,4,3
cell485,4_1,0.790464240903388,4_1_1,4,1
cell486,4_5,0.78894472361809,4_5,1,1
cell487,4_5,0.78643216080402,4_5,1,3
cell488,4_1,0.782936010037641,4_1_1,4,1
cell489,4_5,0.781407035175879,4_5,1,1
cell490,4_5,0.778894472361809,4_5,1,2
cell491,4_5,0.776381909547739,4_5,1,3
cell492,4_5,0.773869346733668,4_5,1,3
cell493,4_1,0.77038895859473,4_1_1,4,1
cell494,4_1,0.767879548306148,4_1_1,4,3
cell495,4_5,0.766331658291457,4_5,1,3
cell496,4_5,0.763819095477387,4_5,1,3
cell497,4_5,0.761306532663317,4_5,1,1
cell498,4_5,0.758793969849246,4_5,1,2
cell499,4_5,0.756281407035176,4_5,1,1
cell500,4_1,0.752823086574655,4_1_1,4,2
cell501,4_5,0.751256281407035,4_5,1,1
cell502,4_5,0.748743718592965,4_5,1,1
cell503,4_5,0.746231155778894,4_5,1,2
cell504,4_5,0.743718592964824,4_5,1,1
cell505,4_1,0.740276035131744,4_1_1,4,3
cell506,4_1,0.737766624843162,4_1_1,4,1
cell507,4_5,0.736180904522613,4_5,1,3
cell508,4_1,0.732747804265997,4_1_1,4,2
cell509,4_5,0.731155778894472,4_5,1,1
cell510,4_1,0.727728983688833,4_1_1,4,1
cell511,4_5,0.726130653266332,4_5,1,1
cell512,4_5,0.723618090452261,4_5,1,1
cell513,4_1,0.720200752823086,4_1_1,4,2
cell514,4_1,0.717691342534504,4_1_1,4,1
cell515,4_5,0.71608040201005,4_5,1,2
cell516,4_1,0.71267252195734,4_1_1,4,3
cell517,4_5,0.71105527638191,4_5,1,3
cell518,4_5,0.708542713567839,4_5,1,3
cell519,4_5,0.706030150753769,4_5,1,1
cell520,4_1,0.702634880803011,4_1_1,4,1
cell521,4_5,0.701005025125628,4_5,1,2
cell522,4_5,0.698492462311558,4_5,1,2
cell523,4_1,0.695106649937265,4_1_1,4,3
cell524,4_5,0.693467336683417,4_5,1,3
cell525,4_5,0.690954773869347,4_5,1,2
cell526,4_5,0.688442211055276,4_5,1,1
cell527,4_5,0.685929648241206,4_5,1,2
cell528,4_1,0.682559598494354,4_1_1,4,1
cell529,4_5,0.680904522613065,4_5,1,1
cell530,4_1,0.677540777917189,4_1_1,4,1
cell531,4_5,0.675879396984925,4_5,1,3
cell532,4_1,0.672521957340025,4_1_1,4,2
cell533,4_5,0.670854271356784,4_5,1,3
cell534,4_5,0.668341708542714,4_5,1,2
cell535,4_5,0.665829145728643,4_5,1,1
cell536,4_1,0.662484316185696,4_1_1,4,1
cell537,4_5,0.660804020100503,4_5,1,3
cell538,4_1,0.657465495608532,4_1_1,4,2
cell539,4_5,0.655778894472362,4_5,1,2
cell540,4_5,0.653266331658292,4_5,1,3
cell541,4_5,0.650753768844221,4_5,1,3
cell542,4_5,0.648241206030151,4_5,1,3
cell543,4_5,0.64572864321608,4_5,1,2
cell544,4_5,0.64321608040201,4_5,1,2
cell545,4_5,0.64070351758794,4_5,1,1
cell546,4_1,0.637390213299874,4_1_1,4,3
cell547,4_1,0.634880803011292,4_1_1,4,2
cell548,4_1,0.63237139272271,4_1_1,4,2
cell549,4_5,0.630653266331658,4_5,1,1
cell550,4_1,0.627352572145546,4_1_1,4,3
cell551,4_5,0.625628140703518,4_5,1,1
cell552,4_5,0.623115577889447,4_5,1,1
cell553,4_1,0.619824341279799,4_1_1,4,3
cell554,4_1,0.617314930991217,4_1_1,4,1
cell555,4_1,0.614805520702635,4_1_1,4,1
cell556,4_5,0.613065326633166,4_5,1,2
cell557,4_5,0.610552763819096,4_5,1,2
cell558,4_5,0.608040201005025,4_5,1,1
cell559,4_5,0.605527638190955,4_5,1,3
cell560,4_5,0.603015075376884,4_5,1,1
cell561,4_5,0.600502512562814,4_5,1,3
cell562,4_5,0.597989949748744,4_5,1,1
cell563,4_1,0.594730238393977,4_1_1,4,1
cell564,4_5,0.592964824120603,4_5,1,3
cell565,4_5,0.590452261306533,4_5,1,3
cell566,4_5,0.587939698492462,4_5,1,1
