,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75,gene76,gene77,gene78,gene79,gene80,gene81,gene82,gene83,gene84,gene85,gene86,gene87,gene88,gene89,gene90,gene91,gene92,gene93,gene94,gene95,gene96,gene97,gene98,gene99,gene100,gene101,gene102,gene103,gene104,gene105,gene106,gene107,gene108,gene109,gene110
cell11,63,48,0,3,20,4,40,37,21,27,9,11,1,7,66,15,64,7,0,420,137,193,6,1,257,39,57,0,3,3,1,199,23,29,0,12,12,17,3,0,3,19,4,11,18,6,9,0,21,5,12,12,17,6,19,23,23,39,24,0,11,1,26,36,94,35,2,54,0,5,75,25,51,3,4,6,32,1,22,4,30,182,9,12,5,2,5,330,4,13,83,3,0,6,3,0,2,24,8,32,22,12,0,4,1,2,8541,158,17,80
cell12,20,11,0,2,58,1,14,40,25,33,9,27,3,22,55,17,48,9,12,473,157,379,2,2,273,44,144,0,0,0,38,245,96,70,0,25,6,26,7,3,0,17,6,15,2,1,13,0,13,5,16,15,11,9,21,28,45,32,20,1,1,3,18,45,76,44,1,47,7,6,68,20,57,4,17,32,34,0,17,0,16,75,5,13,14,2,3,353,12,27,34,1,2,123,4,0,3,12,6,13,14,11,0,8,1,2,168,249,14,63
cell13,8,10,0,7,10,0,35,47,21,20,14,222,2,6,52,9,70,15,0,493,140,380,2,2,267,21,65,0,0,0,28,235,18,67,1,20,6,25,4,4,1,19,4,20,36,3,8,0,16,6,10,10,13,10,21,12,60,35,28,0,20,4,17,49,99,42,6,44,0,5,64,34,57,3,20,23,25,0,15,0,30,65,3,27,21,2,11,350,18,27,24,6,3,4,4,0,1,1,7,36,18,16,0,5,7,1,9878,145,11,101
cell14,50,193,0,63,0,0,73,44,23,198,62,6,2,7,304,32,328,72,2,8,9,223,0,29,13,6,10,0,0,0,2,12,1,2,44,0,12,239,14,3,17,41,7,136,3,0,0,0,73,60,11,59,34,56,22,48,4,19,114,2,0,25,60,4,7,249,23,12,0,13,343,87,16,0,1,2,19,90,72,0,6,149,1,15,165,87,4,12,940,13,17,7,2,133,8,0,0,87,4,33,251,9,9,64,1,3,3339,14,7,51
cell15,41,23,0,11,40,2,65,100,42,13,9,2,0,22,16,4,17,10,1,234,71,94,2,4,140,22,15,0,1,0,23,124,0,3,0,21,3,0,1,0,0,3,2,1,8,0,32,1,14,3,9,6,12,58,9,9,4,19,11,2,11,1,10,5,14,8,0,13,1,5,9,6,16,3,14,4,13,14,8,0,2,43,1,9,5,6,1,133,406,8,14,1,0,20,1,0,4,1,6,7,21,12,1,20,6,7,41,1,195,4
cell16,17,263,0,39,0,1,47,34,13,99,26,2,7,6,234,24,295,23,6,14,6,206,1,0,6,8,17,0,0,0,0,13,0,6,0,4,8,94,8,3,19,33,0,79,3,1,0,0,74,38,3,58,40,109,30,34,10,10,94,0,7,12,47,10,11,184,5,15,0,12,291,42,9,0,2,1,10,171,81,0,8,92,4,15,67,77,0,17,1191,12,16,2,3,39,8,0,20,107,0,27,224,12,2,20,1,2,619,53,5,39
cell17,24,12,0,3,13,0,32,22,27,39,19,22,1,2,54,8,8,14,0,432,110,457,1,2,70,35,10,0,0,3,12,186,36,10,0,34,18,17,5,3,2,12,2,23,6,2,18,0,14,3,13,18,15,24,11,25,46,23,33,1,41,2,17,51,54,50,3,47,4,8,54,9,62,0,11,0,24,2,14,1,30,129,4,10,12,1,0,273,12,28,31,6,0,0,12,0,7,27,8,28,27,15,0,3,4,2,96,148,12,281
cell18,10,16,0,5,4,3,25,19,16,19,12,21,2,15,41,2,37,9,0,415,97,345,2,7,171,47,115,0,0,1,0,210,45,100,0,29,5,23,4,3,4,14,4,21,31,2,14,3,22,4,16,13,14,4,15,14,40,27,28,6,45,4,15,46,100,36,4,35,0,12,48,37,60,10,22,21,33,0,18,0,33,176,6,14,7,3,0,233,16,28,60,5,0,91,1,0,1,11,3,49,23,17,0,6,3,3,5,38,13,163
cell19,9,247,0,85,2,0,137,53,66,188,73,1,6,2,214,19,87,25,0,14,4,337,0,5,12,14,4,0,2,0,1,12,0,0,1,1,6,70,14,2,24,29,0,110,2,1,0,0,63,32,8,53,30,45,9,55,3,21,108,0,2,19,60,10,8,201,4,18,2,9,299,75,6,1,1,4,12,236,176,0,6,94,9,14,61,61,0,14,1333,12,6,4,2,0,6,0,0,121,1,36,226,16,0,7,2,4,5342,4,4,47
cell20,18,11,0,3,10,1,39,20,38,29,15,101,0,13,57,6,65,16,10,332,98,416,2,3,209,25,84,0,0,0,12,151,1,51,0,17,9,22,8,2,3,20,5,18,14,1,5,1,15,4,11,20,18,15,31,20,38,31,21,1,13,2,18,44,46,66,14,44,4,9,97,39,42,3,10,6,29,0,32,0,25,95,4,13,10,0,0,216,14,22,61,4,0,0,0,0,11,38,4,33,14,13,0,5,0,0,8204,110,15,384
cell21,0,199,0,46,0,0,53,30,61,79,61,16,2,4,172,8,220,28,1,14,7,235,0,13,10,8,6,0,0,0,3,13,1,7,4,2,9,65,7,1,5,22,0,63,4,4,0,0,53,37,7,24,21,117,41,37,5,16,80,0,1,33,59,14,18,160,6,10,0,10,286,86,10,0,0,3,14,42,68,0,10,101,1,12,69,119,0,11,1113,10,14,14,0,0,2,0,5,128,1,36,260,10,0,38,8,1,3,26,14,22
cell22,31,28,0,8,12,0,23,31,49,32,19,192,3,12,73,13,85,27,0,304,123,345,4,5,107,21,115,0,1,3,64,138,14,60,0,46,14,46,7,1,5,21,4,23,9,7,19,0,28,3,9,29,21,23,30,7,17,21,47,3,4,8,13,35,94,65,1,30,0,9,105,42,47,5,15,24,29,3,45,0,18,147,3,8,27,2,2,203,12,11,56,5,4,12,2,0,18,42,2,35,19,10,0,1,0,5,758,144,12,149
cell23,0,295,0,26,0,1,90,49,82,225,49,1,3,0,250,9,292,40,0,15,17,286,0,3,11,6,4,0,1,1,2,13,0,1,76,0,18,112,8,3,5,27,0,95,0,0,0,0,66,31,4,47,33,90,41,19,6,14,93,1,1,9,46,15,15,184,14,11,0,17,291,56,10,0,4,2,10,43,82,0,5,110,4,12,116,67,6,15,46,9,15,13,0,24,4,0,13,83,3,18,263,15,5,11,5,7,9853,8,8,25
cell24,32,12,0,4,27,0,17,20,30,16,24,203,3,8,95,9,123,23,0,229,50,341,2,1,81,21,102,0,6,0,34,87,41,38,0,11,5,38,16,5,20,32,2,55,26,5,0,0,39,18,11,23,21,19,50,25,12,18,45,2,15,2,25,24,44,92,0,29,0,8,128,47,46,4,7,8,19,2,3,1,19,76,7,4,3,6,3,158,11,17,58,0,4,0,1,0,3,59,0,38,23,14,0,6,0,1,8854,177,19,91
cell25,43,24,0,32,7,3,25,63,5,6,5,13,2,8,4,4,10,5,22,242,101,32,4,1,103,24,68,0,0,0,36,100,7,12,1,39,3,1,8,0,2,11,3,7,7,1,60,2,2,2,11,7,9,43,7,1,10,21,8,0,32,0,11,8,10,12,2,21,4,2,15,3,10,0,1,7,14,15,2,0,4,29,11,4,3,22,0,123,266,5,25,4,0,0,4,0,0,5,6,1,16,17,0,16,8,20,5131,3,188,6
cell26,0,198,0,31,0,0,68,71,43,106,64,97,5,7,186,11,225,29,0,19,8,249,0,3,5,8,4,0,4,0,0,13,1,5,0,1,29,110,9,3,12,39,2,85,2,1,2,0,53,17,5,31,29,18,12,38,4,7,64,0,5,20,47,5,21,130,1,23,0,4,225,79,12,0,1,3,14,86,72,0,9,52,4,5,55,131,1,13,984,7,19,14,5,62,2,0,4,44,1,36,238,10,0,6,5,10,166,29,10,26
cell27,46,15,0,8,4,0,26,31,11,35,23,65,3,20,100,5,109,46,5,329,80,328,0,0,132,28,99,0,3,0,42,120,47,40,13,24,1,13,5,3,3,34,5,30,12,7,2,2,25,9,3,17,14,16,49,33,43,21,44,0,34,2,28,51,60,66,8,25,0,10,109,30,37,2,6,4,26,0,83,0,6,148,5,7,18,4,6,160,9,16,42,3,3,19,2,0,1,32,1,33,26,13,0,13,5,0,1206,112,15,243
cell28,18,260,0,43,0,0,58,55,25,125,57,0,2,4,155,11,192,53,1,11,7,300,0,6,13,13,10,0,5,0,0,12,0,10,0,2,19,53,7,2,8,23,1,80,13,3,0,0,46,15,7,31,19,82,12,48,11,10,66,3,1,13,33,7,21,113,16,11,0,10,153,30,10,2,0,1,15,41,119,0,6,97,2,8,38,76,1,22,1028,8,8,1,1,52,0,0,8,46,2,10,208,15,0,16,3,5,1424,31,3,32
cell29,22,32,0,45,12,0,28,70,9,2,1,27,0,5,7,1,8,7,2,154,29,130,2,4,47,23,52,0,0,0,41,94,0,36,1,17,2,1,3,1,0,6,6,0,2,0,4,0,8,1,15,4,18,53,11,10,6,21,14,0,17,0,17,12,11,12,0,16,1,12,3,1,15,2,9,3,14,30,2,3,1,61,3,12,5,35,0,128,528,4,33,6,0,14,3,0,1,4,7,14,12,12,0,51,7,11,5,6,173,10
cell30,19,18,0,21,9,0,6,63,8,9,19,1,2,6,2,9,10,2,0,174,55,83,5,7,110,24,72,0,0,2,5,87,0,9,1,8,1,2,5,1,0,7,4,8,8,1,6,5,2,2,4,6,16,45,6,9,9,13,9,0,22,0,6,8,16,11,2,18,2,4,8,6,9,4,9,13,7,35,4,0,1,18,4,7,0,10,2,110,278,4,18,2,1,4,3,0,2,3,0,5,16,13,0,24,20,22,39,2,194,2
cell31,31,22,0,29,54,1,37,89,24,9,11,4,0,18,7,1,9,4,2,248,48,131,5,0,116,32,67,1,0,2,58,119,0,22,0,58,5,2,5,2,4,4,1,7,21,4,15,1,5,3,9,2,14,46,8,9,11,30,17,0,11,1,12,11,16,9,1,6,2,5,10,13,8,2,1,8,15,130,5,1,4,23,11,3,0,24,0,176,516,3,26,1,2,4,0,0,2,1,10,15,21,13,0,32,8,22,7829,7,185,11
cell32,49,76,0,3,37,0,22,54,52,25,14,1,5,16,62,5,79,7,8,382,110,125,8,4,167,48,97,0,0,0,88,185,93,25,0,20,5,22,6,2,1,17,0,17,38,6,3,1,13,3,9,26,15,20,19,23,43,33,24,2,12,6,13,42,76,43,3,48,0,13,69,34,44,1,56,15,32,2,15,0,28,146,1,14,19,4,7,239,11,27,34,3,4,43,5,0,1,58,4,47,22,9,4,5,10,3,7,332,19,231
cell33,89,28,0,35,48,0,84,103,35,7,10,42,1,11,11,7,15,4,0,423,97,82,3,11,120,41,19,0,0,1,156,221,1,13,0,34,10,6,8,1,1,6,8,7,28,0,27,0,5,2,14,10,20,24,9,16,3,22,4,2,17,0,15,15,26,14,0,24,3,3,5,9,15,2,2,4,9,38,5,0,6,41,13,8,2,35,0,147,438,9,16,1,4,1,0,0,0,0,1,3,15,16,0,35,13,6,1,7,153,2
cell34,0,210,1,69,0,3,100,54,51,151,40,50,5,4,213,11,230,26,25,13,10,225,1,4,14,21,6,0,0,0,1,11,0,3,7,0,10,77,10,2,9,42,0,28,2,2,0,0,54,10,9,32,16,112,13,45,10,10,74,0,3,23,48,14,10,138,7,13,0,12,243,30,10,0,1,6,12,48,21,0,7,111,0,8,61,82,3,12,921,4,14,8,0,8,3,0,19,90,3,32,206,20,0,35,4,1,8983,47,6,14
cell35,5,316,0,64,0,6,38,75,81,174,33,29,2,0,205,13,261,21,4,32,13,239,0,1,17,12,11,0,7,0,3,19,0,5,8,0,27,92,11,0,8,30,2,96,5,4,0,0,10,35,3,41,28,142,35,44,12,17,94,3,3,15,42,15,18,124,16,15,6,11,239,44,8,0,3,1,13,87,67,0,12,120,3,10,60,43,1,4,964,5,18,6,1,39,3,0,11,14,5,25,221,16,0,18,6,6,1320,34,8,4
cell36,35,39,0,2,21,2,25,63,9,11,6,0,0,5,8,3,5,1,0,235,44,68,5,5,136,21,66,0,0,0,24,95,2,10,1,33,0,2,6,1,2,1,5,4,13,6,18,2,3,0,7,5,12,12,8,15,15,16,13,0,2,1,10,10,23,11,3,21,2,5,9,4,14,2,7,11,12,25,3,0,2,22,1,7,2,7,0,139,505,3,24,0,0,0,1,0,3,7,1,1,12,12,0,23,9,14,5580,0,188,3
cell37,53,67,0,7,30,0,31,31,40,28,14,161,5,21,66,15,71,6,29,313,93,309,2,10,164,26,132,0,0,3,29,145,40,28,0,10,14,28,8,2,7,28,5,45,21,1,0,1,32,12,7,24,18,8,11,25,35,27,30,5,11,3,11,34,73,56,3,46,0,13,62,18,41,4,14,12,30,1,38,1,17,169,8,7,5,4,1,255,19,19,71,10,9,25,9,0,0,20,2,18,31,19,0,3,5,0,9118,302,9,276
cell38,28,27,0,27,13,0,22,76,9,15,7,22,1,0,9,3,12,8,18,233,44,41,3,7,106,26,21,0,1,2,48,117,14,45,0,28,3,0,3,0,2,7,3,2,19,0,41,4,12,2,13,4,17,10,3,2,8,24,12,0,33,1,16,9,21,14,0,38,1,3,8,10,20,3,1,18,16,31,4,0,0,26,3,8,4,14,3,168,331,6,14,3,0,1,0,0,0,10,6,11,6,22,0,29,10,15,6936,7,152,5
cell39,24,195,1,40,0,0,165,79,55,125,74,2,3,6,314,32,182,46,0,12,14,284,3,11,7,13,3,0,0,0,4,12,1,7,1,0,4,148,26,0,5,61,0,165,4,3,0,0,80,59,4,70,33,105,43,66,10,15,101,1,0,8,59,9,18,263,20,17,0,9,383,127,11,0,1,2,16,48,79,0,13,32,2,14,34,60,2,15,987,10,22,1,3,6,4,0,3,99,3,30,292,14,0,7,2,2,515,17,10,35
cell40,25,15,0,2,23,0,37,30,29,39,14,12,3,33,51,9,27,7,3,362,129,340,3,1,133,39,125,0,4,8,62,151,32,49,3,13,5,10,5,2,1,14,2,43,15,0,0,2,16,9,13,13,20,6,11,15,19,24,24,3,11,4,19,41,50,40,2,49,0,9,56,10,57,8,10,27,22,2,19,0,32,94,1,20,16,9,2,267,19,27,39,1,0,7,4,0,1,22,14,70,22,18,0,1,0,2,1,146,11,210
cell41,38,477,0,51,0,1,65,46,34,172,53,0,7,0,240,7,324,34,19,25,19,240,0,0,10,8,15,0,0,0,0,20,0,10,0,3,20,71,17,1,9,34,4,70,2,2,1,0,66,21,5,62,43,111,45,66,4,22,76,1,6,12,56,6,15,143,11,13,0,7,291,59,8,1,1,4,12,69,36,0,9,48,8,7,43,86,0,18,946,7,22,2,0,25,2,0,1,116,1,19,188,17,0,82,4,2,77,9,3,23
cell42,0,380,0,37,2,0,61,66,21,136,55,5,8,5,222,16,282,63,0,17,19,215,0,1,7,12,1,0,2,0,0,19,0,4,0,2,30,138,13,1,1,48,0,112,2,6,0,0,68,10,3,41,38,77,17,45,4,10,76,1,2,47,50,9,10,49,16,13,0,12,302,99,11,0,1,2,9,76,130,0,11,89,7,8,89,165,1,21,1028,5,14,5,1,17,9,0,4,50,1,30,260,4,27,10,0,1,6835,9,6,4
cell43,14,219,0,31,0,3,44,66,18,154,65,2,0,4,237,24,353,36,3,4,7,230,1,12,14,5,11,0,0,0,3,18,0,3,14,4,21,157,16,1,18,53,1,93,4,5,0,2,85,10,4,57,31,68,30,46,9,15,104,1,1,50,57,11,8,201,15,11,0,9,296,26,19,2,2,3,12,85,72,0,13,49,0,12,54,196,0,14,179,10,27,8,3,1,0,0,18,90,4,27,230,7,1,52,3,2,2417,8,13,22
cell44,16,17,0,6,4,1,17,51,35,35,30,8,0,17,58,10,97,16,13,354,102,307,4,7,92,44,63,0,0,1,20,163,52,17,0,15,3,29,12,9,20,11,1,26,15,2,7,5,25,3,6,24,16,2,36,21,36,20,34,3,9,3,28,48,77,55,3,47,0,7,84,29,50,1,25,27,28,0,18,1,22,90,1,21,24,2,16,223,16,23,21,1,2,0,8,0,2,41,6,12,29,19,2,4,3,6,417,131,13,318
cell45,13,13,0,28,28,1,42,79,16,14,3,7,2,18,8,3,14,0,0,359,86,33,0,0,126,43,126,2,1,0,36,180,0,5,0,61,4,0,4,0,1,2,6,6,24,0,3,0,10,5,5,9,11,10,6,4,10,31,13,5,2,0,12,8,29,17,4,49,1,19,9,8,12,3,42,9,11,19,3,0,6,40,3,5,1,11,1,181,308,5,31,1,0,1,5,0,5,5,3,5,17,10,0,20,3,15,1,3,84,4
cell46,2,152,0,26,0,0,75,41,23,165,66,31,0,13,191,11,242,22,18,11,20,159,0,4,18,7,1,0,0,0,3,13,0,5,0,0,5,131,10,2,7,32,1,90,2,0,1,1,76,37,9,37,31,89,7,42,9,13,58,0,1,11,41,11,11,151,18,12,1,5,203,28,21,1,0,1,13,74,146,0,4,105,1,15,67,42,0,13,1063,10,8,1,4,0,3,0,8,86,1,42,237,12,1,20,1,1,1293,5,5,17
cell47,18,36,0,22,6,1,45,97,13,21,6,0,0,8,9,5,11,5,5,237,58,87,0,5,103,54,65,0,3,2,23,146,4,38,0,35,2,9,7,0,1,3,5,4,18,1,5,0,13,1,8,5,15,51,6,19,9,26,11,5,5,0,13,7,16,11,0,39,3,8,13,5,21,8,3,8,18,96,2,0,1,32,4,7,5,20,0,203,367,2,20,2,1,14,3,0,0,4,6,13,17,20,0,35,5,15,1339,1,92,5
cell48,31,37,0,44,23,1,33,56,23,11,9,30,3,20,7,5,6,2,0,292,47,72,4,4,152,30,9,0,1,0,16,91,0,31,0,40,12,3,3,0,1,3,4,12,12,0,6,2,10,0,16,11,20,15,9,3,7,19,10,1,23,1,5,6,19,8,1,26,4,4,6,5,21,6,23,7,5,26,6,0,3,21,1,8,3,19,0,164,463,4,27,6,0,0,3,0,3,0,3,4,19,15,0,26,9,11,9101,9,101,4
cell49,22,39,1,25,23,1,26,82,24,6,12,1,3,8,13,13,8,5,0,290,78,97,0,1,61,20,36,0,0,0,33,128,16,34,1,52,6,1,4,0,2,3,10,2,20,2,12,0,11,0,1,7,10,34,8,12,14,16,8,4,5,0,10,10,11,14,4,28,3,9,9,10,8,1,2,11,14,52,5,2,0,51,1,1,4,32,0,204,583,7,31,1,3,2,3,0,2,8,1,3,21,23,0,23,9,19,149,6,104,3
cell50,41,21,0,26,29,0,28,29,31,19,7,39,3,0,16,4,13,1,7,329,83,63,0,0,102,44,124,0,0,2,27,134,9,30,0,41,4,4,5,0,2,1,1,5,7,0,1,0,12,0,10,11,13,19,7,16,2,23,9,1,39,0,12,10,20,7,0,14,0,8,9,6,16,1,2,6,13,24,2,2,5,17,8,4,9,18,0,193,539,4,35,4,1,3,7,0,4,4,10,3,15,9,0,33,7,22,6813,4,116,13
cell51,3,213,0,81,0,0,77,74,48,194,64,120,1,5,222,23,187,24,13,12,9,385,1,4,9,8,7,0,3,0,0,13,0,0,16,1,5,165,5,0,4,51,2,53,3,0,2,1,64,27,3,43,23,55,22,22,4,15,88,3,1,48,57,10,23,162,3,16,1,3,276,61,5,0,1,1,8,164,41,0,10,154,4,7,53,211,0,13,1194,10,29,2,0,0,5,0,16,61,0,40,247,19,0,28,1,2,1937,13,3,25
cell52,15,19,0,7,27,3,34,28,24,27,13,55,0,22,55,8,59,10,0,345,101,373,3,2,142,34,16,0,0,0,21,134,14,79,4,26,26,28,3,2,2,15,2,35,19,4,33,0,24,2,13,21,11,20,27,13,29,26,27,1,5,8,23,40,72,62,4,46,0,17,64,23,46,5,29,0,12,2,12,0,4,136,2,13,25,5,0,161,19,23,23,5,6,31,1,0,9,35,4,69,23,14,0,8,5,3,6054,154,11,164
cell53,36,19,1,4,59,0,23,37,12,17,9,1,1,18,5,1,9,4,0,189,52,71,4,4,76,37,54,0,1,0,7,95,0,29,0,20,4,0,4,0,0,6,5,1,18,0,5,2,12,0,10,8,17,33,10,19,5,25,11,1,13,0,20,9,13,12,2,23,1,7,13,6,15,8,14,7,12,15,3,0,4,12,7,4,4,16,4,125,364,6,25,1,1,16,2,0,3,0,1,6,11,19,0,25,9,15,9658,1,82,3
cell54,12,14,0,18,51,1,58,67,20,11,9,1,1,4,9,15,8,3,10,201,64,73,0,2,104,33,62,0,0,0,13,102,17,18,0,20,10,2,4,0,0,2,4,7,18,1,11,2,12,1,14,3,13,110,12,13,12,20,10,0,5,0,11,11,12,9,1,26,2,9,13,9,6,0,8,7,21,8,1,0,2,12,1,2,5,44,0,109,520,9,30,1,0,19,4,0,1,12,0,6,15,9,0,18,7,12,295,7,107,5
cell55,35,17,0,8,11,1,4,16,16,12,14,27,1,7,48,9,61,20,1,239,78,179,7,3,140,32,56,0,0,0,26,107,12,72,1,8,11,17,3,4,1,14,4,27,1,1,0,0,22,9,5,12,22,15,12,20,47,24,26,2,2,7,22,31,42,47,1,35,0,6,53,8,28,2,14,7,36,1,9,0,12,47,3,9,7,1,5,158,15,11,19,4,0,0,0,0,7,13,9,26,27,8,0,5,1,2,2620,213,16,589
cell56,36,30,0,17,14,1,31,64,25,7,7,0,2,14,12,9,7,2,2,213,16,49,8,3,91,26,2,0,0,1,11,87,0,27,0,29,3,3,2,0,2,3,6,3,11,1,0,0,6,1,8,5,15,38,6,13,13,16,11,4,11,1,10,8,14,10,0,21,5,4,6,2,29,3,21,10,8,80,8,0,2,32,10,2,1,16,1,142,430,9,15,1,2,4,1,0,4,3,1,2,7,10,0,26,8,14,7749,1,118,11
cell57,18,287,0,86,0,0,33,36,45,138,43,27,6,8,120,18,105,26,3,15,10,173,0,9,17,5,3,0,4,0,2,14,0,4,0,3,10,50,12,2,4,27,0,35,3,0,2,0,48,21,6,33,20,42,31,12,3,10,59,0,3,0,27,9,8,109,2,23,0,2,183,42,4,3,2,1,12,19,66,0,9,118,0,12,24,80,0,21,1066,6,30,0,3,4,2,0,25,35,0,31,280,18,1,28,1,2,243,8,4,61
cell58,12,178,0,111,0,0,49,69,35,158,32,12,8,5,132,5,176,14,29,17,12,318,0,2,12,13,11,0,0,0,2,13,0,5,0,2,18,142,13,1,5,24,0,30,3,0,0,0,49,31,4,35,29,106,45,44,4,12,65,1,4,26,38,11,12,51,8,8,0,6,115,51,11,7,0,3,6,132,22,0,3,61,2,9,28,125,6,18,1043,4,20,1,1,15,4,0,6,36,3,68,311,21,0,60,7,3,119,25,4,0
