,pop,depth,cell.type,cell.type.idx,batch
cell97,4_1,1.76411543287327,4_1_2,5,1
cell98,4_1,1.76160602258469,4_1_2,5,1
cell99,5_2,1.75628140703518,5_2,2,3
cell100,4_1,1.75658720200753,4_1_2,5,1
cell101,4_1,1.75407779171895,4_1_2,5,3
cell102,5_3,1.74874371859296,5_3,3,3
cell103,4_1,1.74905897114178,4_1_2,5,2
cell104,5_3,1.74371859296482,5_3,3,2
cell105,5_3,1.74120603015075,5_3,3,1
cell106,4_1,1.74153074027603,4_1_2,5,2
cell107,5_2,1.73618090452261,5_2,2,3
cell108,5_3,1.73366834170854,5_3,3,3
cell109,4_1,1.73400250941029,4_1_2,5,1
cell110,5_3,1.7286432160804,5_3,3,1
cell111,5_3,1.72613065326633,5_3,3,3
cell112,4_1,1.72647427854454,4_1_2,5,1
cell113,4_1,1.72396486825596,4_1_2,5,2
cell114,4_1,1.72145545796738,4_1_2,5,2
cell115,5_2,1.71608040201005,5_2,2,2
cell116,4_1,1.71643663739021,4_1_2,5,2
cell117,5_3,1.71105527638191,5_3,3,1
cell118,4_1,1.71141781681305,4_1_2,5,1
cell119,5_2,1.70603015075377,5_2,2,3
cell120,5_3,1.7035175879397,5_3,3,1
cell121,5_3,1.70100502512563,5_3,3,3
cell122,4_1,1.70138017565872,4_1_2,5,1
cell123,5_2,1.69597989949749,5_2,2,3
cell124,5_3,1.69346733668342,5_3,3,3
cell125,4_1,1.69385194479297,4_1_2,5,3
cell126,4_1,1.69134253450439,4_1_2,5,2
cell127,5_3,1.68592964824121,5_3,3,2
cell128,5_3,1.68341708542714,5_3,3,1
cell129,4_1,1.68381430363864,4_1_2,5,1
cell130,5_3,1.67839195979899,5_3,3,3
cell131,5_2,1.67587939698492,5_2,2,1
cell132,4_1,1.6762860727729,4_1_2,5,2
cell133,4_1,1.67377666248432,4_1_2,5,2
cell134,4_1,1.67126725219573,4_1_2,5,3
cell135,4_1,1.66875784190715,4_1_2,5,1
cell136,5_3,1.66331658291457,5_3,3,1
cell137,5_3,1.6608040201005,5_3,3,3
cell138,4_1,1.66122961104141,4_1_2,5,2
cell139,4_1,1.65872020075282,4_1_2,5,2
cell140,4_1,1.65621079046424,4_1_2,5,2
cell141,4_1,1.65370138017566,4_1_2,5,2
cell142,4_1,1.65119196988708,4_1_2,5,1
cell143,5_2,1.64572864321608,5_2,2,2
cell144,5_2,1.64321608040201,5_2,2,1
cell145,5_3,1.64070351758794,5_3,3,2
cell146,5_2,1.63819095477387,5_2,2,3
cell147,5_3,1.6356783919598,5_3,3,1
cell148,4_1,1.63613550815558,4_1_2,5,2
cell149,4_1,1.633626097867,4_1_2,5,2
cell150,5_2,1.62814070351759,5_2,2,2
cell151,5_2,1.62562814070352,5_2,2,2
cell152,5_3,1.62311557788945,5_3,3,2
cell153,5_3,1.62060301507538,5_3,3,2
cell154,5_2,1.61809045226131,5_2,2,1
cell155,5_2,1.61557788944724,5_2,2,2
cell156,5_2,1.61306532663317,5_2,2,3
cell157,5_3,1.6105527638191,5_3,3,2
cell158,5_2,1.60804020100502,5_2,2,3
cell159,5_2,1.60552763819095,5_2,2,2
cell160,5_2,1.60301507537688,5_2,2,1
cell161,5_3,1.60050251256281,5_3,3,2
cell162,4_1,1.60100376411543,4_1_2,5,1
cell163,4_1,1.59849435382685,4_1_2,5,1
cell164,5_3,1.5929648241206,5_3,3,1
cell165,5_2,1.59045226130653,5_2,2,3
cell166,4_1,1.5909661229611,4_1_2,5,1
cell167,4_1,1.58845671267252,4_1_2,5,1
cell168,4_1,1.58594730238394,4_1_2,5,2
cell169,4_1,1.58343789209536,4_1_2,5,2
cell170,5_3,1.57788944723618,5_3,3,2
cell171,4_1,1.57841907151819,4_1_2,5,1
cell172,4_1,1.57590966122961,4_1_2,5,1
cell173,5_2,1.57035175879397,5_2,2,1
cell174,5_2,1.5678391959799,5_2,2,2
cell175,5_2,1.56532663316583,5_2,2,2
cell176,5_2,1.56281407035176,5_2,2,1
cell177,5_3,1.56030150753769,5_3,3,1
cell178,4_1,1.56085319949812,4_1_2,5,1
cell179,5_2,1.55527638190955,5_2,2,3
cell180,4_1,1.55583437892095,4_1_2,5,3
cell181,5_2,1.55025125628141,5_2,2,2
cell182,5_2,1.54773869346734,5_2,2,3
cell183,5_2,1.54522613065327,5_2,2,2
cell184,4_1,1.54579673776662,4_1_2,5,1
cell185,5_3,1.54020100502513,5_3,3,1
cell186,5_3,1.53768844221106,5_3,3,3
cell187,5_2,1.53517587939698,5_2,2,1
cell188,5_2,1.53266331658291,5_2,2,1
cell189,5_3,1.53015075376884,5_3,3,1
cell190,5_3,1.52763819095477,5_3,3,3
cell191,5_2,1.5251256281407,5_2,2,3
cell192,5_2,1.52261306532663,5_2,2,3
cell193,5_2,1.52010050251256,5_2,2,1
cell194,4_1,1.5207026348808,4_1_2,5,2
cell195,5_2,1.51507537688442,5_2,2,1
cell196,5_3,1.51256281407035,5_3,3,2
cell197,4_1,1.51317440401506,4_1_2,5,2
cell198,4_1,1.51066499372647,4_1_2,5,3
cell199,5_3,1.50502512562814,5_3,3,2
cell200,5_2,1.50251256281407,5_2,2,1
cell201,5_2,1.5,5_2,2,1
cell202,5_2,1.49748743718593,5_2,2,1
cell203,5_2,1.49497487437186,5_2,2,2
cell204,5_3,1.49246231155779,5_3,3,1
cell205,5_3,1.48994974874372,5_3,3,3
cell206,5_3,1.48743718592965,5_3,3,3
cell207,5_3,1.48492462311558,5_3,3,3
cell208,5_2,1.48241206030151,5_2,2,3
cell209,5_2,1.47989949748744,5_2,2,3
cell210,4_1,1.48055207026349,4_1_2,5,3
cell211,5_2,1.4748743718593,5_2,2,2
cell212,4_1,1.47553324968632,4_1_2,5,3
cell213,5_3,1.46984924623116,5_3,3,1
cell214,5_3,1.46733668341709,5_3,3,1
cell215,4_1,1.46800501882058,4_1_2,5,1
cell216,4_1,1.46549560853199,4_1_2,5,2
cell217,5_2,1.45979899497487,5_2,2,3
cell218,5_2,1.4572864321608,5_2,2,2
cell219,5_2,1.45477386934673,5_2,2,3
cell220,4_1,1.45545796737767,4_1_2,5,1
cell221,5_3,1.44974874371859,5_3,3,3
cell222,5_3,1.44723618090452,5_3,3,3
cell223,5_2,1.44472361809045,5_2,2,2
cell224,5_2,1.44221105527638,5_2,2,1
cell225,5_3,1.43969849246231,5_3,3,1
cell226,5_3,1.43718592964824,5_3,3,3
cell227,5_3,1.43467336683417,5_3,3,3
cell228,5_3,1.4321608040201,5_3,3,3
cell229,5_2,1.42964824120603,5_2,2,2
cell230,4_1,1.43036386449184,4_1_2,5,2
cell231,5_2,1.42462311557789,5_2,2,1
cell232,5_3,1.42211055276382,5_3,3,2
cell233,4_1,1.4228356336261,4_1_2,5,1
cell234,5_3,1.41708542713568,5_3,3,1
cell235,5_3,1.41457286432161,5_3,3,3
cell236,5_3,1.41206030150754,5_3,3,2
cell237,4_1,1.41279799247177,4_1_2,5,3
cell238,4_1,1.41028858218319,4_1_2,5,1
cell239,4_1,1.4077791718946,4_1_2,5,2
cell240,5_2,1.40201005025126,5_2,2,1
cell241,5_3,1.39949748743719,5_3,3,2
cell242,4_1,1.40025094102886,4_1_2,5,2
cell243,4_1,1.39774153074028,4_1_2,5,3
cell244,4_1,1.39523212045169,4_1_2,5,1
cell245,4_1,1.39272271016311,4_1_2,5,3
cell246,5_2,1.38693467336683,5_2,2,2
cell247,4_1,1.38770388958595,4_1_2,5,3
cell248,5_2,1.38190954773869,5_2,2,3
cell249,4_1,1.38268506900878,4_1_2,5,3
cell250,4_1,1.3801756587202,4_1_2,5,3
cell251,4_1,1.37766624843162,4_1_2,5,1
cell252,5_2,1.37185929648241,5_2,2,3
cell253,5_3,1.36934673366834,5_3,3,2
cell254,5_2,1.36683417085427,5_2,2,1
cell255,5_2,1.3643216080402,5_2,2,2
cell256,5_2,1.36180904522613,5_2,2,3
cell257,5_3,1.35929648241206,5_3,3,2
cell258,5_3,1.35678391959799,5_3,3,2
cell259,5_3,1.35427135678392,5_3,3,1
cell260,5_3,1.35175879396985,5_3,3,1
cell261,4_1,1.3525721455458,4_1_2,5,2
cell262,5_2,1.34673366834171,5_2,2,1
cell263,4_1,1.34755332496863,4_1_2,5,2
cell264,5_3,1.34170854271357,5_3,3,2
cell265,4_1,1.34253450439147,4_1_2,5,1
cell266,4_1,1.34002509410289,4_1_2,5,2
cell267,4_1,1.3375156838143,4_1_2,5,1
cell268,4_1,1.33500627352572,4_1_2,5,1
cell269,4_1,1.33249686323714,4_1_2,5,2
cell270,5_3,1.32663316582915,5_3,3,2
cell271,5_3,1.32412060301508,5_3,3,3
cell272,5_3,1.32160804020101,5_3,3,2
cell273,4_1,1.32245922208281,4_1_2,5,1
cell274,5_3,1.31658291457286,5_3,3,2
cell275,5_2,1.31407035175879,5_2,2,2
cell276,4_1,1.31493099121706,4_1_2,5,1
cell277,4_1,1.31242158092848,4_1_2,5,3
cell278,5_2,1.30653266331658,5_2,2,3
cell279,5_2,1.30402010050251,5_2,2,3
cell280,5_3,1.30150753768844,5_3,3,2
cell281,4_1,1.30238393977415,4_1_2,5,2
cell282,5_3,1.2964824120603,5_3,3,2
cell283,5_2,1.29396984924623,5_2,2,2
cell284,4_1,1.29485570890841,4_1_2,5,3
cell285,4_1,1.29234629861982,4_1_2,5,2
cell286,4_1,1.28983688833124,4_1_2,5,3
cell287,5_3,1.28391959798995,5_3,3,1
cell288,5_2,1.28140703517588,5_2,2,1
cell289,5_3,1.27889447236181,5_3,3,2
cell290,5_3,1.27638190954774,5_3,3,1
cell291,5_2,1.27386934673367,5_2,2,3
cell292,5_2,1.2713567839196,5_2,2,1
cell293,5_3,1.26884422110553,5_3,3,1
cell294,5_3,1.26633165829146,5_3,3,2
cell295,5_3,1.26381909547739,5_3,3,1
cell296,5_2,1.26130653266332,5_2,2,3
cell297,5_3,1.25879396984925,5_3,3,2
cell298,5_2,1.25628140703518,5_2,2,1
cell299,4_1,1.25721455457967,4_1_2,5,2
cell300,5_2,1.25125628140704,5_2,2,2
cell301,5_2,1.24874371859296,5_2,2,2
cell302,5_3,1.24623115577889,5_3,3,3
cell303,4_1,1.24717691342534,4_1_2,5,1
cell304,5_3,1.24120603015075,5_3,3,2
cell305,4_1,1.24215809284818,4_1_2,5,2
cell306,5_2,1.23618090452261,5_2,2,3
cell307,5_3,1.23366834170854,5_3,3,1
cell308,5_3,1.23115577889447,5_3,3,3
cell309,4_1,1.23212045169385,4_1_2,5,3
cell310,4_1,1.22961104140527,4_1_2,5,1
cell311,4_1,1.22710163111669,4_1_2,5,2
cell312,5_2,1.22110552763819,5_2,2,1
cell313,4_1,1.22208281053952,4_1_2,5,2
cell314,5_2,1.21608040201005,5_2,2,3
cell315,4_1,1.21706398996236,4_1_2,5,2
cell316,5_3,1.21105527638191,5_3,3,3
cell317,5_3,1.20854271356784,5_3,3,2
cell318,5_3,1.20603015075377,5_3,3,2
cell319,4_1,1.20702634880803,4_1_2,5,3
cell320,5_2,1.20100502512563,5_2,2,3
cell321,5_3,1.19849246231156,5_3,3,2
cell322,5_2,1.19597989949749,5_2,2,3
cell323,5_2,1.19346733668342,5_2,2,2
cell324,5_2,1.19095477386935,5_2,2,3
cell325,5_3,1.18844221105528,5_3,3,3
cell326,4_1,1.18946047678795,4_1_2,5,2
cell327,5_3,1.18341708542714,5_3,3,3
cell328,5_2,1.18090452261307,5_2,2,3
cell329,5_2,1.17839195979899,5_2,2,1
cell330,5_2,1.17587939698492,5_2,2,2
cell331,4_1,1.17691342534504,4_1_2,5,1
cell332,5_3,1.17085427135678,5_3,3,3
cell333,4_1,1.17189460476788,4_1_2,5,2
cell334,5_2,1.16582914572864,5_2,2,2
cell335,5_3,1.16331658291457,5_3,3,3
cell336,4_1,1.16436637390213,4_1_2,5,1
cell337,4_1,1.16185696361355,4_1_2,5,2
cell338,5_2,1.15577889447236,5_2,2,2
cell339,4_1,1.15683814303639,4_1_2,5,3
cell340,5_2,1.15075376884422,5_2,2,2
cell341,5_2,1.14824120603015,5_2,2,1
cell342,4_1,1.14930991217064,4_1_2,5,2
cell343,5_2,1.14321608040201,5_2,2,1
cell344,5_2,1.14070351758794,5_2,2,3
cell345,4_1,1.14178168130489,4_1_2,5,2
cell346,4_1,1.13927227101631,4_1_2,5,2
cell347,4_1,1.13676286072773,4_1_2,5,2
cell348,5_3,1.13065326633166,5_3,3,1
cell349,5_2,1.12814070351759,5_2,2,2
cell350,5_3,1.12562814070352,5_3,3,2
cell351,5_2,1.12311557788945,5_2,2,1
cell352,4_1,1.12421580928482,4_1_2,5,3
cell353,4_1,1.12170639899624,4_1_2,5,2
cell354,4_1,1.11919698870765,4_1_2,5,3
cell355,4_1,1.11668757841907,4_1_2,5,1
cell356,5_3,1.1105527638191,5_3,3,1
cell357,5_2,1.10804020100503,5_2,2,1
cell358,5_3,1.10552763819095,5_3,3,2
cell359,4_1,1.10664993726474,4_1_2,5,3
cell360,5_2,1.10050251256281,5_2,2,2
cell361,4_1,1.10163111668758,4_1_2,5,2
cell362,5_3,1.09547738693467,5_3,3,2
cell363,5_3,1.0929648241206,5_3,3,1
cell364,4_1,1.09410288582183,4_1_2,5,3
cell365,5_2,1.08793969849246,5_2,2,3
cell366,5_2,1.08542713567839,5_2,2,1
cell367,5_3,1.08291457286432,5_3,3,3
cell368,5_3,1.08040201005025,5_3,3,2
cell369,4_1,1.08155583437892,4_1_2,5,2
cell370,5_2,1.07537688442211,5_2,2,3
cell371,5_3,1.07286432160804,5_3,3,3
cell372,5_3,1.07035175879397,5_3,3,2
cell373,5_3,1.0678391959799,5_3,3,2
cell374,5_2,1.06532663316583,5_2,2,3
cell375,5_3,1.06281407035176,5_3,3,2
cell376,5_3,1.06030150753769,5_3,3,2
cell377,5_3,1.05778894472362,5_3,3,3
cell378,5_3,1.05527638190955,5_3,3,3
cell379,4_1,1.0564617314931,4_1_2,5,3
cell380,5_2,1.05025125628141,5_2,2,1
cell381,5_3,1.04773869346734,5_3,3,2
cell382,5_3,1.04522613065327,5_3,3,3
cell383,4_1,1.04642409033877,4_1_2,5,1
cell384,4_1,1.04391468005019,4_1_2,5,2
cell385,4_1,1.04140526976161,4_1_2,5,2
cell386,5_2,1.03517587939698,5_2,2,2
cell387,5_3,1.03266331658291,5_3,3,1
cell388,4_1,1.03387703889586,4_1_2,5,1
cell389,5_3,1.02763819095477,5_3,3,3
cell390,4_1,1.02885821831869,4_1_2,5,2
cell391,5_3,1.02261306532663,5_3,3,3
cell392,5_3,1.02010050251256,5_3,3,1
cell393,5_3,1.01758793969849,5_3,3,1
cell394,5_2,1.01507537688442,5_2,2,3
cell395,5_3,1.01256281407035,5_3,3,1
cell396,5_3,1.01005025125628,5_3,3,2
cell397,4_1,1.01129234629862,4_1_2,5,3
cell398,5_3,1.00502512562814,5_3,3,3
cell399,5_3,1.00251256281407,5_3,3,1
cell400,5_2,1,5_2,2,2
cell401,4_5,1,4_5,1,1
cell402,4_5,1,4_5,1,3
cell403,4_5,0.99748743718593,4_5,1,2
cell404,4_1,0.993726474278544,4_1_1,4,2
cell405,4_5,0.992462311557789,4_5,1,1
cell406,4_1,0.98870765370138,4_1_1,4,3
cell407,4_1,0.986198243412798,4_1_1,4,3
cell408,4_5,0.984924623115578,4_5,1,3
cell409,4_5,0.982412060301508,4_5,1,3
cell410,4_1,0.978670012547051,4_1_1,4,3
cell411,4_5,0.977386934673367,4_5,1,2
cell412,4_1,0.973651191969887,4_1_1,4,3
cell413,4_1,0.971141781681305,4_1_1,4,2
cell414,4_5,0.969849246231156,4_5,1,3
cell415,4_5,0.967336683417085,4_5,1,3
cell416,4_1,0.963613550815558,4_1_1,4,1
cell417,4_1,0.961104140526976,4_1_1,4,1
cell418,4_5,0.959798994974874,4_5,1,3
cell419,4_5,0.957286432160804,4_5,1,3
cell420,4_1,0.95357590966123,4_1_1,4,3
cell421,4_5,0.952261306532663,4_5,1,1
cell422,4_5,0.949748743718593,4_5,1,2
cell423,4_1,0.946047678795483,4_1_1,4,2
cell424,4_5,0.944723618090452,4_5,1,2
cell425,4_1,0.941028858218319,4_1_1,4,2
cell426,4_1,0.938519447929736,4_1_1,4,2
cell427,4_5,0.937185929648241,4_5,1,1
cell428,4_5,0.934673366834171,4_5,1,3
cell429,4_5,0.9321608040201,4_5,1,3
cell430,4_5,0.92964824120603,4_5,1,1
cell431,4_5,0.92713567839196,4_5,1,1
cell432,4_1,0.923462986198243,4_1_1,4,1
cell433,4_1,0.920953575909661,4_1_1,4,1
cell434,4_5,0.919597989949749,4_5,1,1
cell435,4_5,0.917085427135678,4_5,1,1
cell436,4_1,0.913425345043915,4_1_1,4,1
cell437,4_1,0.910915934755332,4_1_1,4,3
cell438,4_5,0.909547738693467,4_5,1,1
cell439,4_5,0.907035175879397,4_5,1,2
cell440,4_5,0.904522613065327,4_5,1,1
cell441,4_5,0.902010050251256,4_5,1,1
cell442,4_5,0.899497487437186,4_5,1,3
cell443,4_5,0.896984924623116,4_5,1,2
cell444,4_5,0.894472361809045,4_5,1,2
cell445,4_1,0.890840652446675,4_1_1,4,2
cell446,4_5,0.889447236180904,4_5,1,2
cell447,4_5,0.886934673366834,4_5,1,1
cell448,4_5,0.884422110552764,4_5,1,1
cell449,4_5,0.881909547738693,4_5,1,1
cell450,4_5,0.879396984924623,4_5,1,1
cell451,4_1,0.875784190715182,4_1_1,4,2
cell452,4_5,0.874371859296482,4_5,1,2
cell453,4_5,0.871859296482412,4_5,1,1
cell454,4_5,0.869346733668342,4_5,1,3
cell455,4_5,0.866834170854271,4_5,1,2
cell456,4_5,0.864321608040201,4_5,1,1
cell457,4_5,0.861809045226131,4_5,1,2
cell458,4_5,0.85929648241206,4_5,1,1
cell459,4_5,0.85678391959799,4_5,1,3
cell460,4_5,0.85427135678392,4_5,1,2
cell461,4_1,0.85069008782936,4_1_1,4,2
cell462,4_5,0.849246231155779,4_5,1,1
cell463,4_5,0.846733668341709,4_5,1,3
cell464,4_5,0.844221105527638,4_5,1,3
cell465,4_5,0.841708542713568,4_5,1,3
cell466,4_5,0.839195979899497,4_5,1,1
cell467,4_5,0.836683417085427,4_5,1,3
cell468,4_5,0.834170854271357,4_5,1,1
cell469,4_5,0.831658291457286,4_5,1,1
cell470,4_5,0.829145728643216,4_5,1,2
cell471,4_1,0.825595984943538,4_1_1,4,2
cell472,4_5,0.824120603015075,4_5,1,1
cell473,4_1,0.820577164366374,4_1_1,4,1
cell474,4_5,0.819095477386935,4_5,1,3
cell475,4_5,0.816582914572864,4_5,1,3
cell476,4_1,0.813048933500627,4_1_1,4,3
cell477,4_1,0.810539523212045,4_1_1,4,3
cell478,4_5,0.809045226130653,4_5,1,2
cell479,4_5,0.806532663316583,4_5,1,1
cell480,4_5,0.804020100502513,4_5,1,2
cell481,4_5,0.801507537688442,4_5,1,2
cell482,4_5,0.798994974874372,4_5,1,3
cell483,4_5,0.796482412060302,4_5,1,3
cell484,4_1,0.79297365119197,4_1_1,4,3
cell485,4_5,0.791457286432161,4_5,1,3
cell486,4_1,0.787954830614805,4_1_1,4,1
cell487,4_5,0.78643216080402,4_5,1,2
cell488,4_5,0.78391959798995,4_5,1,3
cell489,4_1,0.780426599749059,4_1_1,4,1
cell490,4_1,0.777917189460477,4_1_1,4,2
cell491,4_5,0.776381909547739,4_5,1,2
cell492,4_5,0.773869346733668,4_5,1,2
cell493,4_5,0.771356783919598,4_5,1,1
cell494,4_1,0.767879548306148,4_1_1,4,1
cell495,4_5,0.766331658291457,4_5,1,2
cell496,4_5,0.763819095477387,4_5,1,3
cell497,4_5,0.761306532663317,4_5,1,3
cell498,4_1,0.757841907151819,4_1_1,4,3
cell499,4_5,0.756281407035176,4_5,1,3
cell500,4_1,0.752823086574655,4_1_1,4,2
cell501,4_5,0.751256281407035,4_5,1,2
cell502,4_5,0.748743718592965,4_5,1,3
cell503,4_1,0.745294855708908,4_1_1,4,1
cell504,4_1,0.742785445420326,4_1_1,4,2
cell505,4_5,0.741206030150754,4_5,1,1
cell506,4_1,0.737766624843162,4_1_1,4,2
cell507,4_5,0.736180904522613,4_5,1,2
cell508,4_5,0.733668341708543,4_5,1,2
cell509,4_5,0.731155778894472,4_5,1,3
cell510,4_5,0.728643216080402,4_5,1,1
cell511,4_1,0.725219573400251,4_1_1,4,2
cell512,4_5,0.723618090452261,4_5,1,2
cell513,4_5,0.721105527638191,4_5,1,3
cell514,4_5,0.718592964824121,4_5,1,2
cell515,4_5,0.71608040201005,4_5,1,1
cell516,4_5,0.71356783919598,4_5,1,2
cell517,4_5,0.71105527638191,4_5,1,2
cell518,4_5,0.708542713567839,4_5,1,1
cell519,4_5,0.706030150753769,4_5,1,2
cell520,4_5,0.703517587939699,4_5,1,3
cell521,4_1,0.700125470514429,4_1_1,4,2
cell522,4_5,0.698492462311558,4_5,1,1
cell523,4_1,0.695106649937265,4_1_1,4,3
cell524,4_1,0.692597239648682,4_1_1,4,2
cell525,4_1,0.6900878293601,4_1_1,4,1
cell526,4_1,0.687578419071518,4_1_1,4,1
cell527,4_5,0.685929648241206,4_5,1,2
cell528,4_5,0.683417085427136,4_5,1,2
cell529,4_5,0.680904522613065,4_5,1,2
cell530,4_5,0.678391959798995,4_5,1,3
cell531,4_5,0.675879396984925,4_5,1,3
cell532,4_5,0.673366834170854,4_5,1,3
cell533,4_5,0.670854271356784,4_5,1,2
cell534,4_1,0.667503136762861,4_1_1,4,3
cell535,4_5,0.665829145728643,4_5,1,1
cell536,4_1,0.662484316185696,4_1_1,4,3
cell537,4_1,0.659974905897114,4_1_1,4,1
cell538,4_5,0.658291457286432,4_5,1,3
cell539,4_5,0.655778894472362,4_5,1,2
cell540,4_1,0.652446675031368,4_1_1,4,1
cell541,4_1,0.649937264742785,4_1_1,4,1
cell542,4_5,0.648241206030151,4_5,1,3
cell543,4_5,0.64572864321608,4_5,1,1
cell544,4_5,0.64321608040201,4_5,1,1
cell545,4_1,0.639899623588457,4_1_1,4,2
cell546,4_5,0.638190954773869,4_5,1,3
cell547,4_5,0.635678391959799,4_5,1,3
cell548,4_5,0.633165829145729,4_5,1,3
cell549,4_5,0.630653266331658,4_5,1,2
cell550,4_5,0.628140703517588,4_5,1,2
cell551,4_5,0.625628140703518,4_5,1,1
cell552,4_1,0.622333751568381,4_1_1,4,3
cell553,4_5,0.620603015075377,4_5,1,3
cell554,4_5,0.618090452261307,4_5,1,2
cell555,4_1,0.614805520702635,4_1_1,4,2
cell556,4_1,0.612296110414053,4_1_1,4,2
cell557,4_1,0.60978670012547,4_1_1,4,1
cell558,4_5,0.608040201005025,4_5,1,1
cell559,4_5,0.605527638190955,4_5,1,3
cell560,4_5,0.603015075376884,4_5,1,2
cell561,4_1,0.599749058971142,4_1_1,4,1
cell562,4_1,0.59723964868256,4_1_1,4,3
cell563,4_5,0.595477386934673,4_5,1,1
cell564,4_5,0.592964824120603,4_5,1,1
cell565,4_1,0.589711417816813,4_1_1,4,2
cell566,4_1,0.587202007528231,4_1_1,4,1
