,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75,gene76,gene77,gene78,gene79,gene80,gene81,gene82,gene83,gene84,gene85,gene86,gene87,gene88,gene89,gene90,gene91,gene92,gene93,gene94,gene95,gene96,gene97,gene98,gene99,gene100,gene101,gene102,gene103,gene104,gene105,gene106,gene107,gene108,gene109,gene110
cell11,1,3,0,7,0,31,1,69,104,8,5,57,0,0,11,12,26,2,75,0,3,1,4,0,0,2,1,13,26,0,13,2,47,34,25,281,70,43,4,7,0,19,5,59,72,2,60,27,1,16,10,19,2,2,36,10,4,25,32,28,37,28,5,0,1,0,15,17,15,10,73,4,8,15,22,59,2,7,4,9,0,7,4,9,12,8,16,207,4,0,22,6,11,36,6,4,7,52,5,9,0,0,2,21,16,7,14,16,141,323
cell12,0,5,0,21,0,12,0,100,150,20,2,77,1,0,39,8,53,5,56,17,1,1,2,0,0,12,0,8,17,6,29,11,56,40,34,144,80,33,2,2,0,28,3,37,64,1,55,22,8,23,2,28,3,55,49,9,0,17,38,24,19,26,3,0,1,1,29,28,20,6,97,5,3,6,21,57,18,12,0,9,8,12,11,10,22,10,20,168,5,2,17,0,2,66,8,2,7,82,7,11,4,0,9,14,22,2,16,25,88,245
cell13,4,0,5,70,352,73,0,245,0,3,15,56,0,0,26,4,41,10,10,1,0,0,0,0,8,1,2,63,25,23,7,0,10,11,45,8526,85,44,8,3,6,33,2,74,496,2,15,15,15,21,12,26,1,94,38,12,2,85,53,43,33,11,6,0,10,0,15,168,5,11,94,24,1,33,4,611,5,29,13,0,3,3,57,0,16,34,10,7549,65,1,20,0,6,37,6,7,7,61,0,2,10,0,0,28,17,14,7,191,6,14
cell14,0,14,3,9,73,10,0,57,78,14,3,16,0,0,16,18,26,3,50,9,4,2,2,0,0,3,0,14,18,3,26,6,32,15,21,164,63,36,11,0,0,20,7,33,40,5,40,16,10,0,8,23,3,8,17,9,3,18,19,7,20,13,1,0,9,0,40,17,18,6,54,13,6,10,9,30,4,7,41,4,12,3,2,5,21,12,12,137,3,1,17,0,11,72,4,1,8,44,0,15,0,0,5,34,36,0,7,20,79,155
cell15,2,12,8,32,47,16,0,298,0,0,2,88,3,0,26,7,46,8,19,0,3,4,0,1,0,5,0,50,14,52,2,2,10,17,47,5702,91,59,9,7,3,47,4,81,322,1,16,6,6,1,11,27,2,142,52,11,2,48,28,97,20,12,15,0,1,3,37,175,14,12,80,11,0,40,5,671,11,222,0,0,2,2,88,0,26,81,16,7860,82,2,12,0,14,26,1,6,13,69,0,4,16,3,0,49,23,0,12,213,11,14
cell16,0,0,1,11,160,19,0,82,117,32,10,30,0,0,10,9,30,4,436,9,2,3,0,0,0,5,0,12,16,6,19,7,61,23,21,142,82,16,20,6,0,13,1,48,60,1,52,43,5,2,6,26,3,6,26,11,6,17,32,21,29,18,5,0,108,1,32,33,16,8,73,13,0,21,16,43,34,9,26,31,20,16,20,8,32,8,50,166,4,8,17,0,9,99,7,6,7,48,1,14,1,1,6,35,20,2,11,28,82,344
cell17,4,3,0,4,1,7,0,77,85,2,0,42,1,0,10,12,19,1,108,7,1,1,1,0,0,1,0,19,15,2,55,4,54,23,20,215,50,23,3,1,0,28,5,19,70,6,0,20,8,1,5,12,0,1,12,9,3,29,12,15,32,13,8,8,7,0,17,19,16,1,44,2,2,2,19,38,21,9,4,10,6,5,20,8,10,5,26,173,7,2,17,5,2,66,3,2,1,29,2,17,2,0,6,21,21,8,8,45,65,240
cell18,6,0,0,5,35,16,0,93,143,6,5,47,6,0,19,8,42,8,274,11,3,1,1,0,0,1,3,7,21,2,38,8,51,28,30,123,80,43,4,9,0,24,5,24,59,1,57,19,7,14,14,23,1,0,25,9,17,16,25,6,24,15,3,1,0,2,42,22,11,7,73,6,2,12,6,51,14,10,35,23,20,12,22,17,38,9,54,162,5,8,16,0,9,72,6,0,6,52,0,6,1,1,2,7,10,12,6,26,153,492
cell19,8,5,0,12,148,10,0,117,0,56,15,109,1,0,166,9,226,10,347,86,16,2,0,1,61,19,0,12,46,0,183,8,186,140,114,44,108,394,37,9,19,100,5,204,55,22,294,29,26,129,5,72,3,60,99,38,13,3,112,9,70,44,12,0,50,8,108,13,26,19,486,10,0,9,47,44,12,7,56,67,14,3,13,5,45,10,56,116,1,7,55,29,14,496,4,2,6,190,0,37,0,0,5,109,25,0,10,56,17,603
cell20,43,0,0,6,0,12,0,63,98,6,11,48,0,0,11,5,39,10,44,5,0,0,1,0,0,2,0,15,14,5,29,4,21,13,29,132,64,38,3,3,0,37,1,58,21,0,7,20,10,0,9,27,1,1,30,8,4,16,41,23,17,26,5,1,27,1,32,14,16,8,88,0,7,16,9,38,14,5,1,5,13,11,10,19,9,3,28,139,3,3,18,0,8,82,3,6,3,65,0,22,1,0,9,20,18,8,1,23,90,227
cell21,1,0,0,6,0,11,0,103,100,20,4,62,0,0,14,8,36,4,73,8,0,10,0,0,0,4,0,8,20,7,30,3,38,12,22,238,68,19,3,2,0,18,8,35,49,2,40,16,0,5,10,20,1,38,23,9,8,17,23,13,19,16,6,0,10,6,12,23,9,0,73,6,5,27,13,56,17,9,1,12,5,21,10,8,11,7,24,201,1,1,28,0,6,80,3,0,4,31,3,24,6,0,2,31,27,7,15,28,59,320
cell22,25,1,2,5,16,23,0,72,122,8,9,31,4,0,56,2,62,5,52,4,2,5,0,0,0,4,0,6,9,4,11,2,33,14,49,213,90,45,7,0,0,45,1,61,51,6,34,4,7,30,2,28,3,3,41,7,2,23,34,22,18,13,4,2,48,1,34,22,7,5,94,13,4,8,6,39,14,7,0,7,7,22,9,1,17,11,23,180,4,0,24,0,10,62,5,0,5,73,2,13,2,1,0,15,20,8,8,44,81,122
cell23,21,68,1,41,0,31,0,344,97,3,6,60,0,0,40,16,35,2,18,2,3,2,0,0,4,4,0,116,17,20,8,2,15,6,28,9219,91,29,16,4,1,33,5,39,642,3,1,8,9,9,11,19,3,223,33,15,3,160,20,116,15,2,10,0,1,1,30,274,4,1,88,9,6,115,1,1324,6,291,0,3,2,6,79,6,14,83,20,8212,56,0,28,1,0,41,0,1,2,62,1,4,27,2,0,42,15,5,5,114,10,10
cell24,1,54,3,26,54,23,0,318,9,17,4,63,0,0,33,10,46,3,28,2,10,6,1,1,1,11,0,92,18,45,11,2,10,11,10,3563,87,57,16,4,5,16,5,53,507,5,19,6,4,12,8,25,1,15,26,3,1,178,12,145,21,7,9,0,0,5,28,191,20,1,67,1,3,33,3,809,1,359,0,2,0,7,66,1,14,76,23,7193,47,1,16,1,11,55,2,0,3,51,1,4,47,3,0,63,25,4,9,253,4,18
cell25,0,3,1,5,1,4,0,72,260,69,10,62,0,0,111,42,163,12,107,146,25,3,0,0,23,2,0,5,59,0,402,12,189,103,30,32,110,271,24,6,15,55,3,173,55,17,2,44,25,72,6,55,9,34,92,39,7,25,100,9,124,72,14,0,49,1,33,15,7,5,359,23,0,21,37,30,42,5,1,20,4,26,17,20,20,10,57,132,2,4,61,0,7,491,2,5,2,69,0,35,3,0,9,38,18,9,8,24,22,736
cell26,11,1,0,4,36,4,1,66,178,48,9,72,4,0,139,5,183,22,99,45,6,3,0,0,23,18,9,9,41,0,57,1,125,80,36,105,104,134,27,3,13,79,6,159,55,20,198,38,47,80,2,80,22,55,103,35,6,9,100,17,64,87,18,0,62,1,87,28,10,10,431,2,10,3,18,41,28,6,45,8,22,14,8,8,150,7,32,126,3,8,60,0,2,324,4,0,32,175,12,27,5,0,10,65,18,2,16,13,17,683
cell27,0,2,0,6,1,15,0,66,102,32,3,46,0,0,32,0,40,3,44,9,1,3,1,1,1,3,0,20,16,5,25,9,24,10,37,208,90,56,7,1,7,19,3,44,24,3,0,17,2,9,4,27,3,13,35,14,10,28,34,21,20,20,1,0,1,1,34,39,14,11,94,12,8,16,15,42,12,12,0,13,8,7,14,0,36,4,16,190,2,2,17,0,8,116,2,0,10,54,2,10,3,1,0,51,15,1,12,43,100,142
cell28,4,6,0,3,4,3,0,73,316,25,35,69,10,0,42,18,171,8,1437,95,6,15,1,0,47,23,2,8,38,1,244,38,298,100,103,162,112,243,28,5,9,76,6,170,18,9,36,42,9,0,4,51,8,3,84,37,13,0,91,16,83,83,5,0,141,0,102,11,25,20,409,19,0,2,59,43,36,8,111,39,21,7,9,2,59,13,64,122,0,1,51,0,19,497,1,2,14,150,0,19,0,0,5,55,14,11,14,25,13,345
cell29,0,11,0,3,95,22,1,72,83,16,6,42,2,0,28,7,51,1,47,0,1,2,2,0,0,2,0,3,27,6,2,0,9,13,34,204,70,13,7,1,0,21,2,47,58,2,0,10,7,13,3,21,3,20,30,7,2,13,38,17,10,18,6,0,5,0,5,25,21,10,81,9,0,5,10,52,10,4,1,6,8,10,9,0,29,8,31,143,0,3,21,0,9,96,1,1,7,50,0,28,2,0,4,36,23,5,8,17,81,139
cell30,1,2,0,2,0,3,0,81,0,34,18,77,0,0,149,23,183,20,279,122,9,3,0,0,95,18,0,2,52,0,114,16,187,94,50,105,119,298,40,9,1,92,10,29,34,5,14,49,9,99,17,85,2,1,104,40,15,1,113,7,81,14,16,0,93,4,83,11,18,17,417,23,3,3,78,56,25,6,3,19,14,6,7,9,134,12,40,121,2,4,57,0,13,768,7,1,37,136,3,17,1,0,4,85,14,10,10,32,6,846
cell31,1,0,0,5,27,9,0,79,77,44,55,92,7,0,177,24,227,6,302,83,4,0,0,0,31,22,8,11,59,0,249,24,194,103,87,107,134,251,28,16,0,66,13,230,60,19,116,27,11,4,5,72,9,24,105,40,5,24,117,4,81,54,18,0,54,3,63,5,18,20,542,40,0,6,41,40,9,8,2,13,3,32,13,0,216,7,29,99,6,3,53,0,8,678,2,0,11,193,7,30,2,1,0,68,15,13,13,38,38,333
cell32,55,0,0,0,1,7,3,81,38,5,12,80,5,0,101,4,266,18,114,65,4,0,0,0,82,28,2,8,55,0,112,36,140,87,88,94,111,254,28,2,13,75,5,194,16,13,161,47,43,45,3,80,5,72,86,44,13,6,95,10,31,55,8,0,86,3,44,26,11,10,476,13,8,12,53,46,15,6,0,5,7,25,18,12,84,6,27,136,3,14,40,0,1,432,7,0,37,208,1,19,0,2,7,101,27,5,7,8,23,1158
cell33,21,27,4,17,14,18,4,316,0,7,3,105,2,0,54,22,41,9,33,2,4,4,0,0,6,4,1,48,15,23,18,0,10,10,37,5710,84,28,9,4,8,37,0,46,362,2,13,7,6,21,4,21,4,236,38,14,4,168,21,219,21,12,5,0,17,2,19,140,15,6,86,3,0,37,7,1200,17,301,3,5,5,6,60,2,15,64,20,7329,127,3,18,6,4,21,5,1,15,57,0,11,43,1,1,17,18,0,6,466,5,22
cell34,0,0,0,1,121,18,3,82,102,8,11,68,3,0,31,7,59,4,53,6,0,0,1,0,0,16,0,6,15,2,6,2,15,8,37,173,86,41,12,8,2,47,4,68,51,3,25,12,1,6,3,33,4,75,47,6,5,19,33,11,10,30,4,0,10,2,33,45,13,17,89,3,4,14,8,37,1,5,2,10,15,23,13,0,27,11,11,168,7,2,15,1,8,94,7,5,1,55,0,16,2,0,6,42,23,13,8,49,73,109
cell35,0,9,0,16,0,12,0,79,15,22,8,68,5,0,29,2,42,7,224,9,4,5,6,0,0,5,2,7,6,1,7,0,22,22,21,104,55,27,6,10,12,28,6,58,61,5,3,14,0,21,9,21,9,47,25,11,6,3,34,14,28,13,2,0,13,2,30,22,13,15,74,1,0,9,7,28,8,6,0,4,4,9,14,2,11,9,41,108,7,5,14,6,2,83,1,1,2,46,0,14,5,0,3,63,24,15,9,33,162,162
cell36,8,16,1,8,114,8,0,71,161,17,2,71,1,0,14,14,57,17,84,8,0,6,0,2,0,2,0,20,21,1,4,5,34,10,48,104,94,39,3,0,0,14,0,33,48,2,0,15,11,9,7,30,5,92,43,11,2,22,44,3,16,36,1,0,3,0,39,15,22,0,93,7,9,11,5,38,16,7,0,9,5,3,12,14,25,3,43,158,4,14,23,0,20,181,2,0,4,73,8,15,4,0,0,62,18,8,8,36,60,111
cell37,5,3,0,5,2,11,0,82,88,8,4,45,0,0,36,4,39,7,64,1,7,1,0,0,0,3,0,2,20,8,7,1,26,11,38,178,70,33,6,4,0,31,5,74,59,7,4,32,6,0,4,24,1,48,51,6,9,6,30,21,21,44,7,0,1,2,47,17,10,0,84,19,0,9,16,57,12,1,1,10,6,18,19,9,26,15,29,146,4,1,20,0,9,128,5,2,4,49,7,23,3,3,3,28,21,6,17,30,72,247
cell38,33,6,0,4,159,15,0,67,148,11,5,30,0,0,42,13,55,2,562,6,0,3,1,0,1,3,8,3,10,1,24,2,32,27,38,106,78,48,7,5,7,31,6,63,45,8,61,23,5,2,4,28,2,65,34,11,5,15,27,5,13,16,5,0,0,2,45,12,20,3,94,12,1,7,20,40,24,4,0,19,8,10,13,0,29,7,36,137,1,0,30,0,15,135,0,0,3,50,0,8,0,0,1,40,25,4,17,97,82,189
cell39,1,95,8,27,640,43,0,336,2,6,9,64,6,0,56,5,40,6,16,0,6,0,0,0,9,17,2,71,10,52,13,2,17,11,22,5388,95,55,17,0,0,24,2,23,804,4,27,11,7,7,12,21,2,219,32,12,1,214,22,145,29,10,4,0,1,0,15,221,13,20,77,7,0,64,4,929,19,181,2,2,5,5,64,1,49,55,1,8337,127,1,20,0,3,43,1,7,5,33,1,6,15,4,0,38,22,8,14,259,7,21
cell40,0,0,1,7,37,21,2,82,108,1,8,54,2,0,26,1,47,3,44,3,0,0,1,0,0,5,2,7,17,6,15,0,15,14,45,200,59,7,18,3,4,30,9,39,65,0,0,38,0,19,6,24,1,68,33,11,2,9,20,27,17,62,9,0,0,2,43,26,25,2,103,9,38,23,4,58,11,6,0,9,0,15,12,0,52,11,48,205,0,0,25,0,3,82,4,0,8,50,1,15,1,0,6,53,19,12,13,17,45,175
cell41,0,45,7,6,9,53,0,263,0,6,5,70,1,0,33,6,51,6,30,0,2,2,0,1,3,1,0,30,18,22,9,2,10,6,42,6946,105,78,11,3,0,35,4,53,421,4,16,9,13,33,17,33,4,174,48,18,2,166,39,123,18,6,1,0,0,0,33,183,8,4,92,20,12,13,6,1239,4,75,25,5,6,6,32,3,47,64,11,8673,32,5,22,1,2,43,2,1,1,62,0,9,29,0,0,42,18,9,13,399,5,7
cell42,8,36,3,8,0,40,0,352,71,5,4,77,3,0,71,0,52,9,33,1,2,0,0,0,7,3,0,13,14,47,17,0,9,13,58,3726,91,96,12,8,0,37,4,95,670,6,0,11,13,7,12,34,2,91,55,17,3,174,31,88,20,6,10,0,2,0,41,231,14,4,107,11,0,27,8,989,4,139,1,6,1,6,68,1,32,86,12,8829,195,7,23,7,9,33,7,6,8,45,0,15,17,0,0,63,13,2,12,476,5,18
cell43,9,0,0,11,76,12,6,75,114,27,5,20,2,0,39,5,38,8,38,13,1,1,3,0,0,3,0,8,18,6,28,2,20,22,39,150,86,34,8,5,6,21,2,41,65,4,30,15,6,24,6,32,0,43,32,10,7,9,21,21,18,29,4,4,7,0,28,36,11,2,82,16,1,7,2,34,2,5,22,5,9,7,8,0,32,14,28,192,1,2,18,0,6,98,11,1,1,56,8,6,1,0,1,36,20,5,13,21,95,164
cell44,5,9,9,11,120,42,2,220,0,20,13,84,2,0,90,0,57,7,24,2,0,2,0,0,3,6,2,67,20,14,10,4,16,7,59,7841,100,117,8,12,0,56,5,87,571,12,15,9,8,27,17,47,5,76,57,19,6,148,51,123,28,24,12,5,0,0,45,208,17,9,133,13,3,65,12,1235,12,125,0,2,4,2,75,0,51,40,18,8439,72,3,25,0,2,52,5,0,2,82,2,15,2,0,0,51,9,4,6,246,13,12
cell45,80,12,0,6,0,13,0,75,6,33,14,52,5,0,88,7,144,15,543,161,10,0,1,2,65,51,1,8,40,0,214,25,191,119,74,50,108,316,43,5,3,102,7,142,38,38,244,19,23,19,14,81,10,1,91,36,20,6,97,4,95,61,13,0,107,2,71,10,10,8,375,36,0,3,96,40,27,6,0,13,10,2,23,0,113,20,27,86,0,1,58,31,8,408,4,5,11,140,0,13,0,0,4,51,17,0,4,10,15,896
cell46,8,39,13,45,446,31,0,313,110,25,6,98,0,0,79,0,76,11,42,3,8,0,0,0,4,7,0,61,19,56,8,1,16,3,55,8378,108,128,24,1,7,62,4,93,465,22,13,6,1,19,10,42,2,278,49,13,1,143,13,193,16,27,10,0,0,0,20,274,8,9,120,1,1,19,13,1179,5,165,0,1,2,9,41,0,60,43,16,8233,89,1,26,0,3,38,6,0,2,79,3,25,68,0,1,14,17,5,17,344,5,19
cell47,5,3,1,14,8,16,0,67,86,28,3,62,0,1,13,9,25,2,46,1,1,5,1,0,0,4,1,8,14,6,9,2,8,17,30,260,77,44,3,2,15,12,9,58,46,8,11,12,5,14,4,19,1,59,14,14,0,25,13,32,20,19,3,0,0,1,39,17,11,18,73,0,13,7,11,49,3,2,0,10,0,3,8,7,17,2,15,230,2,7,20,0,1,79,8,2,0,49,0,13,0,0,4,50,14,10,13,34,112,297
cell48,0,1,0,2,20,6,0,63,0,13,22,50,1,0,43,11,82,8,413,149,26,0,3,0,45,28,1,10,23,0,186,3,253,96,29,94,60,46,21,6,7,44,3,88,13,9,284,26,17,99,17,57,2,15,54,24,8,15,69,6,47,22,5,0,55,0,81,17,12,11,203,11,4,19,91,17,17,1,3,7,8,9,13,7,52,10,14,86,0,0,47,5,2,240,5,2,4,90,4,15,3,0,14,103,27,0,13,9,16,543
cell49,17,26,2,36,11,34,0,297,0,2,6,69,2,0,62,0,62,11,29,1,0,1,1,0,2,1,1,31,18,46,5,0,15,11,33,2744,125,120,21,14,0,53,6,49,743,16,17,8,19,5,13,32,3,187,50,22,2,188,63,129,24,20,7,0,3,1,44,196,13,10,105,39,1,40,8,1197,6,87,0,0,0,17,40,0,41,50,13,8570,85,2,19,0,0,98,6,0,5,76,1,18,12,0,0,24,15,12,2,194,7,25
cell50,10,6,3,4,134,5,0,60,136,72,12,64,1,0,98,11,148,8,107,105,12,3,0,2,27,34,1,15,31,0,337,41,231,92,38,45,111,94,36,5,6,80,4,166,17,17,299,30,25,159,24,63,2,0,76,31,6,16,74,12,106,46,15,2,64,0,68,11,21,25,320,19,0,7,70,26,1,2,0,4,4,13,14,2,75,13,19,62,5,2,63,0,0,285,1,1,20,118,1,38,3,0,1,87,26,12,14,27,53,771
cell51,0,0,0,15,12,48,0,288,102,6,3,102,8,0,66,0,76,10,29,1,6,6,1,0,7,7,0,40,23,31,11,1,19,12,31,7560,96,56,12,2,2,41,2,66,681,21,8,5,10,38,7,40,5,279,50,25,4,194,50,143,8,18,4,0,0,0,29,189,19,18,116,21,0,25,6,969,5,72,0,0,1,2,50,0,76,73,19,9262,100,1,14,25,7,41,5,1,6,71,1,14,23,0,0,14,15,1,17,258,7,12
cell52,0,0,3,4,272,59,0,309,0,1,4,90,1,0,71,2,61,10,34,2,1,0,0,0,5,6,1,78,19,25,11,0,13,14,41,6109,122,77,13,2,0,47,2,55,688,9,13,8,11,23,9,46,1,162,51,17,2,197,45,112,17,9,9,0,0,3,56,181,12,15,97,4,5,44,6,1280,4,262,2,3,5,3,63,3,32,47,11,8076,88,0,21,2,4,57,1,2,7,61,1,4,17,0,0,44,18,9,9,347,15,24
cell53,0,1,2,9,4,3,0,64,0,48,7,33,0,0,34,19,60,14,194,115,35,13,0,0,113,30,10,16,24,1,417,24,222,70,27,52,56,135,16,4,0,56,18,31,18,9,183,19,9,45,20,56,0,12,66,37,1,8,55,8,88,23,18,0,38,0,14,10,12,11,145,3,7,4,125,19,2,6,18,3,1,23,14,8,52,8,16,75,2,0,65,0,10,217,5,4,7,108,2,9,2,0,2,51,20,6,6,27,55,929
cell54,0,7,0,7,205,7,0,73,28,40,11,59,0,0,74,6,77,0,552,466,40,4,0,0,119,42,11,6,25,0,383,25,282,134,31,65,104,78,20,2,0,44,11,95,24,2,496,23,13,36,38,49,0,0,60,30,27,16,67,2,91,25,11,0,71,2,62,7,21,10,143,7,1,1,125,31,25,4,43,14,1,22,14,9,27,10,20,75,2,1,81,0,4,221,3,2,8,62,3,22,0,0,1,45,23,8,8,9,16,158
cell55,49,16,2,0,0,4,0,80,263,53,14,76,1,0,31,10,100,18,658,340,55,3,1,0,64,33,6,10,28,0,268,5,363,138,30,29,82,64,21,4,1,57,13,98,26,23,457,22,18,29,16,45,0,25,58,27,12,14,74,15,63,20,9,0,68,5,58,13,10,13,206,12,4,4,132,21,2,6,0,8,5,22,9,9,24,8,13,59,10,2,68,0,5,277,3,1,21,82,1,16,1,0,17,30,17,0,8,24,42,1123
cell56,10,0,1,15,558,36,0,326,66,18,14,108,1,0,83,1,63,7,38,3,9,0,0,1,6,1,0,42,18,45,9,0,8,6,43,4075,110,129,15,1,1,38,8,69,433,12,11,6,26,24,24,29,5,35,51,13,3,90,57,135,19,15,11,0,6,2,24,157,22,5,112,19,1,143,14,929,11,46,7,1,10,6,65,1,28,24,16,7653,156,2,23,0,9,70,3,3,16,56,0,19,46,0,0,37,23,3,11,322,4,24
cell57,12,0,10,3,106,21,7,256,0,3,6,105,1,0,68,0,52,4,36,0,4,1,1,1,4,6,0,39,16,55,10,2,6,13,17,6109,89,74,15,4,0,55,3,50,592,19,17,11,13,14,15,46,3,266,58,20,1,134,41,133,19,8,9,0,0,4,62,211,19,3,119,11,10,90,6,1181,9,79,0,0,0,8,72,0,37,41,14,8499,73,2,14,0,3,55,3,1,3,65,0,26,17,0,1,24,18,10,13,277,6,17
cell58,0,2,0,5,177,5,0,78,243,73,35,46,0,0,43,10,94,9,496,134,44,1,0,0,65,26,2,8,17,1,662,37,418,182,17,89,102,96,14,11,8,49,2,95,27,2,401,25,16,43,22,60,3,20,57,21,3,9,69,4,138,42,18,29,128,0,52,12,16,7,183,4,6,9,133,25,23,4,0,1,4,12,11,24,34,14,15,90,0,1,80,0,3,283,5,3,2,106,9,45,0,1,5,85,21,6,15,34,17,809
