,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75,gene76,gene77,gene78,gene79,gene80,gene81,gene82,gene83,gene84,gene85,gene86,gene87,gene88,gene89,gene90,gene91,gene92,gene93,gene94,gene95,gene96,gene97,gene98,gene99,gene100,gene101,gene102,gene103,gene104,gene105,gene106,gene107,gene108,gene109,gene110
cell11,39,51,317,35,0,0,75,45,7,87,18,221,53,3,198,43,84,82,22,13,2,199,5,9,0,5,3,6,48,76,11,1,11,1,19,2,12,355,9,16,4,9,20,3,98,1,2,39,24,156,10,0,11,501,33,61,110,0,71,2,8,0,0,39,79,36,123,58,1,3,220,83,0,15,5,135,56,190,104,64,50,287,3,77,162,166,246,994,108,41,0,1,3,3224,65,2,53,16,6,43,16,76,94,0,171,45,6,0,8,492
cell12,65,30,345,124,4,3,96,25,7,100,14,216,45,39,260,42,123,112,1,2,5,247,1,12,0,10,0,7,33,57,10,0,14,4,12,0,79,274,12,12,9,31,21,0,139,4,1,43,18,227,10,0,34,471,10,46,110,0,102,7,3,0,0,40,106,89,140,68,2,9,292,60,0,22,12,201,65,169,162,75,101,248,3,84,131,339,230,732,189,26,0,1,32,3103,70,4,41,50,0,37,15,40,54,0,135,14,48,4,9,474
cell13,7,86,119,0,305,27,106,11,25,14,9,55,31,0,200,41,37,23,0,53,24,46,1,10,11,8,9,0,30,5,35,4,59,22,3,0,27,364,20,19,9,9,6,11,55,17,1,5,13,130,3,0,14,124,11,48,21,0,50,5,25,0,0,18,27,64,124,20,6,6,82,71,0,21,31,16,11,53,82,5,0,139,1,10,81,67,13,92,47,0,0,3,4,837,8,0,26,38,2,0,70,862,0,0,6,0,631,15,145,17
cell14,88,29,319,0,15,0,124,18,0,112,16,355,26,2,180,53,130,99,5,1,6,183,1,11,22,11,2,10,44,49,5,1,16,9,28,215,59,483,0,33,16,8,16,1,147,3,0,58,6,189,12,1,12,625,21,58,196,0,90,6,7,0,0,43,126,69,112,70,10,5,291,74,0,26,4,114,170,90,79,68,37,289,2,101,191,113,283,1132,66,37,0,4,61,2631,72,18,33,15,11,33,17,86,5,1,117,33,24,5,37,424
cell15,8,91,90,2,205,11,14,26,4,17,1,91,19,17,133,46,47,90,0,8,29,115,0,11,21,8,0,4,28,5,9,2,46,12,0,7,44,236,14,21,4,3,9,5,41,12,4,8,8,159,8,0,15,215,19,53,17,0,58,2,18,0,0,14,18,32,128,21,9,20,114,54,0,14,49,8,10,4,50,8,2,122,1,6,43,57,15,65,3,0,0,0,3,917,14,1,33,20,15,6,76,1609,2,0,14,6,141,5,112,46
cell16,9,92,119,4,112,0,63,46,12,25,2,70,27,25,115,48,24,109,0,19,31,180,0,14,25,15,0,2,34,18,5,2,49,24,16,0,58,325,27,20,3,29,4,18,46,2,5,13,13,209,2,0,20,271,13,63,25,0,22,6,22,0,0,9,21,24,144,35,9,9,117,102,0,9,44,24,5,125,203,4,7,115,3,14,97,46,8,79,8,2,0,0,2,859,10,1,47,14,10,0,33,602,1,0,11,4,971,28,142,3
cell17,6,30,285,0,10,1,88,23,4,84,9,120,41,147,282,47,123,83,2,6,5,250,2,12,1,10,2,9,43,44,6,2,15,9,21,59,17,330,6,23,2,12,16,22,160,2,0,40,4,245,16,2,10,368,14,61,161,0,17,19,8,0,0,72,108,87,154,83,2,4,205,69,77,30,14,100,95,71,133,81,176,326,0,108,132,428,512,1236,316,105,0,1,126,2185,32,37,27,17,3,32,14,74,110,0,252,31,28,1,20,749
cell18,52,33,265,51,1,11,61,26,1,94,15,132,52,17,249,58,104,108,4,3,11,160,3,16,0,7,0,8,43,25,10,3,10,9,13,80,31,238,20,21,11,29,16,28,159,1,3,50,0,257,11,0,15,169,9,50,165,0,93,25,6,1,0,105,93,82,151,82,3,10,277,70,65,63,6,232,129,76,35,59,329,265,9,77,146,405,528,1419,58,69,2,1,119,2041,68,7,38,11,2,110,15,56,61,0,333,50,1,0,10,863
cell19,13,22,275,0,120,0,62,9,4,73,11,172,26,122,256,56,107,54,0,2,6,199,2,13,0,5,4,11,44,75,9,0,10,8,72,0,62,319,13,25,3,20,16,29,139,7,4,59,5,246,11,1,18,550,15,44,134,0,80,22,5,0,1,54,78,123,138,65,1,9,291,86,0,52,7,50,135,62,111,121,29,369,2,85,119,437,293,883,105,35,1,1,59,1944,73,0,69,26,18,75,16,80,33,0,187,15,9,1,12,789
cell20,1,158,205,3,199,0,64,7,1,3,2,13,1,27,9,13,0,22,3,43,25,45,4,4,0,33,60,0,13,7,6,0,211,52,0,22,4,7,12,28,6,2,14,2,23,0,14,34,0,14,14,0,1,211,0,14,17,0,7,9,29,0,1,23,64,3,18,14,3,10,6,6,2,12,69,31,47,102,1,1,4,48,0,28,9,63,39,25,7,4,0,1,10,113,17,2,6,2,25,11,20,284,7,3,7,2,587,0,61,29
cell21,4,39,350,0,0,5,51,20,12,79,4,160,27,17,290,48,79,114,1,3,3,145,0,16,4,5,0,7,48,22,4,2,10,8,4,0,32,457,2,16,4,25,15,39,113,8,3,60,12,258,6,0,6,297,37,55,118,0,94,3,6,0,2,74,81,65,143,62,3,8,286,82,0,34,8,48,119,186,49,55,11,305,2,123,170,176,170,1014,84,25,0,4,66,1993,65,2,34,39,3,82,11,60,11,4,106,30,57,1,10,509
cell22,0,116,123,0,282,98,32,13,3,14,16,92,19,33,205,52,30,91,0,14,9,156,0,7,43,5,4,3,48,13,15,2,38,17,3,1,33,512,34,6,17,40,17,31,54,6,0,9,14,212,10,0,19,314,21,51,25,0,39,6,6,0,3,6,23,76,126,21,5,10,187,91,0,10,22,11,5,54,122,4,10,158,3,7,98,56,7,128,115,1,0,0,4,1367,13,0,68,39,3,0,85,1253,4,0,13,4,311,14,8,48
cell23,6,41,429,0,45,0,69,39,1,99,4,222,41,13,217,36,104,123,5,3,7,247,0,18,6,9,0,9,45,0,10,0,10,4,30,466,59,520,17,26,16,50,14,13,164,1,3,51,10,239,13,2,12,273,8,58,113,0,68,34,5,0,3,44,79,108,155,54,2,2,163,90,35,18,4,157,86,307,84,71,60,312,1,36,47,272,239,756,32,26,0,3,41,3237,47,19,73,18,4,77,17,83,23,0,160,70,28,2,36,710
cell24,17,40,386,0,0,10,86,68,7,128,13,195,40,27,220,50,145,99,2,1,5,274,0,15,5,5,0,6,42,52,6,1,10,9,9,145,79,388,7,28,11,19,16,17,170,0,2,78,8,236,9,0,2,530,34,57,201,0,56,4,7,0,1,70,93,145,177,48,3,11,352,102,72,22,14,57,148,304,153,130,45,347,0,71,196,365,362,876,152,16,0,0,82,4045,60,13,55,41,1,66,19,61,43,0,136,73,29,2,10,826
cell25,75,36,324,26,0,5,50,9,3,126,11,177,80,80,161,48,121,85,12,5,6,296,1,14,1,11,0,9,42,39,8,0,11,9,7,0,34,327,31,22,23,26,16,5,125,11,0,65,3,222,10,0,17,537,41,56,149,0,87,7,9,0,0,104,128,89,150,56,6,9,272,87,6,24,8,127,85,11,134,170,94,259,6,145,134,279,372,1227,36,11,0,0,54,3113,63,1,15,23,0,42,22,50,85,0,243,29,4,5,5,514
cell26,6,39,357,1,105,3,28,21,0,81,6,211,43,9,206,38,263,77,0,11,8,232,3,10,11,12,0,17,38,29,6,1,12,6,23,1,43,465,7,23,26,6,16,8,129,13,2,47,18,272,12,0,3,554,27,55,136,0,94,2,6,19,0,50,74,106,144,72,2,9,312,85,0,26,8,192,69,207,236,56,47,367,6,94,232,234,199,1129,11,154,11,1,18,3196,49,19,77,27,0,78,10,39,78,3,123,60,16,3,8,628
cell27,6,81,184,0,167,0,113,21,1,8,1,57,1,33,19,24,1,16,1,22,12,59,5,6,39,20,11,1,15,6,46,5,160,22,0,28,8,32,3,19,2,3,18,1,45,2,5,29,2,25,7,1,10,576,1,18,42,0,23,2,25,0,3,24,78,11,19,26,6,18,17,10,4,6,61,59,25,72,15,8,2,42,2,10,8,162,27,122,98,4,0,1,8,240,7,6,5,6,0,23,30,309,11,0,3,5,59,4,1,32
cell28,50,194,247,43,144,19,115,17,1,9,3,27,0,1,24,22,1,12,0,63,23,46,3,5,2,21,17,1,17,20,30,8,156,87,1,0,19,52,26,21,0,4,21,3,22,2,0,23,0,21,10,0,4,531,4,16,66,0,7,4,28,0,1,17,36,16,17,18,9,7,3,18,0,11,52,21,20,69,19,4,2,54,2,0,12,116,29,27,20,3,0,1,12,204,9,1,15,5,9,6,16,385,0,0,6,3,196,1,41,35
cell29,10,31,347,7,1,2,31,100,0,106,29,273,37,97,332,51,107,126,0,2,9,151,1,8,6,14,0,3,55,11,11,0,21,5,26,0,46,421,21,17,8,10,14,0,159,10,1,48,1,297,8,0,3,346,36,44,113,0,80,6,10,0,0,78,98,88,166,73,5,8,407,109,59,34,11,70,49,154,214,77,52,381,11,9,239,524,257,1049,187,23,0,0,34,3645,68,3,49,37,0,49,11,68,58,0,67,23,9,0,10,643
cell30,0,177,112,0,223,28,34,3,13,12,14,68,20,18,132,31,9,67,0,30,10,168,3,2,16,7,4,2,33,7,9,2,39,15,34,0,17,200,6,13,3,24,14,24,40,1,1,16,3,162,7,0,5,148,17,46,24,0,57,8,14,0,0,20,19,41,106,35,13,10,184,70,1,13,24,22,11,16,72,4,0,153,2,13,53,78,11,75,68,2,0,4,2,1208,13,2,65,13,8,48,132,2157,1,1,10,2,717,30,162,15
cell31,19,36,336,3,77,30,34,33,12,103,8,303,42,32,255,46,139,79,2,5,11,159,0,12,8,7,2,11,42,67,12,1,18,10,19,0,56,112,8,30,10,25,14,72,159,7,0,53,18,346,9,0,11,265,23,52,99,0,90,15,7,3,1,31,69,149,200,92,7,1,344,102,51,89,5,255,76,248,97,80,44,340,5,39,204,373,254,1083,68,50,4,1,15,3187,79,6,51,41,19,20,8,52,80,0,142,70,32,0,11,548
cell32,8,73,264,77,153,9,93,5,1,11,1,16,3,9,40,18,1,22,0,71,28,46,0,6,110,24,11,1,21,3,30,0,132,55,5,26,20,47,12,11,0,10,30,0,26,4,7,31,6,37,10,0,0,169,5,19,84,0,21,1,35,0,0,39,50,20,31,17,1,5,22,13,0,9,67,15,18,40,11,5,4,66,4,26,7,367,24,80,151,12,0,0,7,253,4,2,17,9,10,27,26,367,5,0,14,2,435,0,52,13
cell33,3,248,309,13,267,0,85,33,17,18,5,28,3,15,42,25,9,31,0,25,44,39,0,7,85,31,24,1,11,2,51,5,290,41,1,0,45,73,8,32,2,1,24,1,29,0,2,34,1,54,7,0,5,277,3,16,111,0,30,4,29,0,1,60,79,14,23,16,1,15,17,19,0,1,62,41,28,431,13,8,17,65,0,18,6,145,35,46,220,5,0,1,4,298,11,2,18,9,17,11,42,323,4,0,2,3,52,2,17,37
cell34,10,32,259,28,118,1,50,3,0,79,5,256,28,99,247,59,81,97,1,0,9,214,3,14,0,10,0,3,42,87,4,1,8,7,40,221,16,243,8,20,18,18,17,1,118,7,1,80,0,228,5,0,15,300,8,51,148,0,21,22,8,1,0,76,87,33,123,68,7,4,250,78,29,29,4,87,36,126,143,105,135,362,6,32,138,276,435,1527,40,45,0,0,56,2495,55,28,25,41,9,49,14,85,71,0,77,19,10,2,10,1389
cell35,30,91,298,4,308,0,21,14,7,3,0,22,5,24,32,16,4,21,2,138,30,16,1,9,46,32,47,3,19,10,94,0,230,48,1,0,42,37,6,21,1,1,29,8,23,1,13,31,6,23,13,0,4,464,4,19,74,0,3,6,38,0,1,39,72,19,23,12,2,18,2,12,1,8,81,25,34,446,4,9,13,38,0,22,5,195,52,60,47,5,0,0,17,167,8,2,19,6,6,5,30,238,2,3,8,10,119,2,17,20
cell36,38,35,282,0,89,9,109,32,0,101,6,308,43,4,148,52,83,66,1,0,9,253,1,13,4,11,0,1,38,54,8,0,11,5,12,56,31,375,16,17,5,37,13,89,201,6,0,41,0,242,17,0,46,373,12,67,113,0,92,3,8,0,0,74,77,86,157,64,11,2,214,105,0,71,11,238,52,211,107,70,137,345,1,91,118,120,351,1577,223,40,0,0,74,3629,37,7,30,48,7,105,10,45,43,2,63,18,18,1,14,386
cell37,16,198,78,60,126,212,55,9,6,14,6,99,4,2,92,26,16,44,0,8,14,182,1,9,38,5,1,9,29,37,20,10,45,10,8,0,23,202,5,8,8,5,17,17,76,8,4,10,7,106,2,0,3,377,19,50,7,0,70,11,6,0,3,14,24,46,93,35,9,6,77,60,0,14,19,11,2,5,71,6,3,163,1,11,45,37,5,254,118,6,0,0,5,1056,14,2,22,7,14,0,97,2071,8,0,9,20,2390,16,67,14
cell38,3,363,108,31,402,84,77,16,10,15,12,113,19,92,67,31,20,63,1,3,21,269,3,13,2,7,2,5,27,9,21,4,55,10,8,0,27,243,15,20,23,15,16,5,84,4,5,6,7,110,7,0,8,389,12,36,23,1,56,19,9,0,0,12,17,32,81,30,7,17,101,44,1,7,13,4,10,115,33,5,5,230,1,11,91,46,6,325,1,0,0,1,3,1395,14,2,13,13,1,12,124,2203,0,0,9,3,352,13,21,46
cell39,45,38,298,35,4,3,73,27,0,122,11,348,57,31,130,60,184,106,1,4,6,179,0,10,15,10,2,8,51,47,10,1,9,4,4,58,12,695,13,18,5,10,18,18,170,5,0,49,11,305,15,1,18,406,19,59,101,0,64,4,12,0,0,52,77,106,211,117,2,2,276,125,27,55,11,111,62,168,43,43,112,375,13,101,158,331,264,1028,18,39,0,1,34,3832,61,0,62,74,1,76,16,55,23,0,122,25,4,3,17,1309
cell40,26,116,126,0,176,12,34,2,3,14,2,67,10,24,115,28,6,57,0,2,20,129,4,8,0,7,0,2,20,9,16,1,40,9,0,23,16,74,15,19,6,25,5,13,65,2,3,7,8,105,8,0,19,54,7,33,20,0,51,11,14,0,0,11,14,24,83,20,6,11,65,71,0,6,11,14,10,33,56,8,3,188,1,20,35,38,10,69,29,5,3,0,8,889,8,0,10,28,0,23,55,2193,2,0,8,1,1588,6,25,29
cell41,12,91,308,7,113,2,55,27,6,6,1,33,3,3,14,20,1,7,1,115,48,30,0,8,180,39,37,5,23,3,95,0,189,64,7,28,30,24,5,17,4,1,36,6,37,0,4,22,4,28,19,0,8,420,2,22,75,0,14,8,32,0,5,31,67,7,35,18,0,5,19,11,0,13,90,42,10,22,11,7,4,52,0,20,7,397,5,64,370,1,0,0,3,170,6,0,10,1,0,8,41,168,7,0,11,4,153,0,22,17
cell42,80,818,148,0,1025,716,141,91,43,36,14,164,42,4,146,36,15,78,4,9,4,179,1,8,11,6,1,4,42,8,5,5,24,10,0,5,14,261,16,14,7,26,13,2,100,5,2,5,1,148,8,0,25,658,13,32,15,0,40,24,6,0,2,4,16,54,104,39,11,9,119,79,3,23,5,33,8,41,189,12,5,198,2,11,80,51,17,615,64,0,0,1,5,1375,27,1,31,34,0,9,72,1758,1,0,5,9,611,6,139,21
cell43,28,25,281,0,11,1,56,13,13,99,13,381,73,97,388,52,210,100,5,10,11,247,0,25,1,6,1,9,51,18,8,1,14,10,21,2,46,737,11,21,15,7,7,110,190,2,0,43,0,297,12,0,19,522,6,60,124,0,125,13,4,49,0,67,103,160,201,72,8,11,256,112,2,30,11,96,99,181,237,33,28,305,11,59,231,301,123,1473,44,24,0,0,62,3444,76,1,43,28,13,10,17,89,75,13,178,49,12,6,23,1004
cell44,55,87,342,0,297,20,67,16,4,6,3,27,4,13,18,17,1,9,0,159,70,30,0,7,0,25,34,0,20,5,116,0,278,75,3,0,35,35,14,33,4,3,37,7,31,3,10,25,3,21,11,0,2,410,7,15,68,0,3,8,37,0,0,24,64,17,27,23,6,20,11,12,0,11,71,26,25,86,2,6,6,54,0,24,17,83,13,36,160,5,0,0,9,171,11,0,9,3,19,23,23,77,1,0,9,2,103,0,16,64
cell45,23,306,100,0,414,0,60,42,38,23,0,104,3,41,72,32,3,62,1,3,6,89,1,13,3,7,1,2,26,19,12,2,24,6,1,8,38,143,16,19,2,5,0,4,112,4,1,19,8,97,3,0,18,398,6,30,16,0,20,5,4,2,0,11,15,18,75,60,13,9,32,46,0,28,1,67,4,69,12,5,4,191,3,9,32,88,6,564,14,2,0,0,3,1003,22,0,15,1,6,0,77,1865,2,0,9,3,1230,20,78,28
cell46,10,155,122,0,98,20,14,7,12,28,10,55,11,52,72,29,11,55,0,11,2,76,0,8,0,8,0,1,24,24,2,1,18,5,14,0,29,74,12,16,0,9,6,21,58,3,1,2,6,60,13,0,15,242,7,13,12,0,20,9,8,0,0,10,15,29,60,29,3,6,71,48,0,6,11,11,14,28,8,4,1,164,0,6,52,45,6,90,80,4,2,0,5,902,7,0,17,4,9,20,109,1801,3,0,3,0,208,11,43,33
cell47,64,36,332,0,0,33,77,49,1,88,11,334,68,2,482,67,186,169,0,2,6,336,0,14,1,5,0,7,46,30,8,0,19,6,1,89,34,682,19,14,2,15,14,75,167,3,0,29,5,497,12,0,50,553,60,82,107,0,140,0,3,0,4,45,89,213,241,60,7,8,143,142,0,43,11,176,89,339,118,40,59,331,3,55,78,241,204,838,26,57,0,1,40,3336,56,34,89,20,2,73,9,43,13,0,226,22,24,3,27,362
cell48,41,32,334,0,38,0,88,15,1,126,7,315,54,69,441,68,252,176,3,4,9,283,0,22,8,7,1,5,43,30,10,1,17,8,46,0,14,789,38,22,18,37,18,159,122,24,0,59,1,462,14,0,50,456,16,69,100,0,36,9,7,0,0,73,81,136,260,70,5,10,308,134,0,24,2,165,67,17,465,89,173,388,4,60,187,546,191,1154,2,5,0,4,58,3598,40,3,74,52,1,116,16,92,64,0,60,22,12,4,7,409
cell49,35,30,200,35,0,0,59,81,16,104,47,412,60,50,221,62,160,131,10,1,11,219,1,19,5,6,5,4,66,34,6,3,8,6,6,489,87,456,13,18,28,22,24,7,121,17,1,45,5,493,2,1,15,74,28,65,67,0,107,0,3,0,0,54,63,139,299,73,6,3,575,164,55,28,10,111,80,136,178,72,57,315,2,27,387,405,223,1119,227,15,0,3,61,4141,77,12,11,66,10,27,24,60,45,0,114,14,17,3,23,606
cell50,34,31,304,1,9,2,67,8,2,117,37,368,66,38,462,72,175,155,2,7,9,253,0,10,3,5,0,3,61,47,5,1,17,7,57,0,15,329,44,18,12,27,12,16,153,15,0,55,4,390,11,1,50,566,7,84,104,0,58,3,8,0,0,31,83,139,284,72,17,5,558,122,0,50,9,91,6,208,423,80,66,350,1,42,385,136,227,1350,34,68,0,2,41,3955,61,17,47,17,3,29,14,75,68,38,81,23,18,4,28,757
cell51,96,413,136,0,159,38,128,89,11,20,8,182,7,0,58,30,9,58,1,7,5,173,0,10,13,8,4,7,29,49,6,2,11,10,3,14,30,278,18,19,9,8,10,3,87,1,0,17,6,166,4,0,9,668,9,51,19,0,54,29,13,1,0,11,14,53,102,37,11,8,117,51,0,13,4,26,9,35,47,6,2,210,1,5,80,75,15,468,87,2,0,1,9,1515,13,5,36,36,9,0,85,1435,3,0,20,1,183,23,28,58
cell52,0,86,385,0,409,0,139,43,7,8,8,24,7,11,40,21,5,5,3,165,40,18,1,4,69,19,5,3,13,14,39,4,267,20,2,0,41,50,16,37,7,2,22,0,57,0,9,35,1,31,9,0,3,243,4,14,64,0,23,6,37,0,3,46,85,13,22,19,7,13,11,14,0,7,54,37,13,165,13,4,4,59,7,13,9,285,22,123,136,2,0,0,11,167,8,3,14,11,7,16,25,327,17,0,12,8,262,2,37,25
cell53,2,44,310,0,63,5,39,22,2,106,26,351,52,127,451,81,316,162,3,6,8,257,1,10,5,12,0,7,65,49,13,1,18,8,27,4,50,1043,34,26,9,4,22,56,86,44,0,47,11,538,10,0,53,423,35,78,90,0,168,8,4,0,1,63,58,189,344,66,13,9,606,175,20,46,9,142,96,5,389,60,27,369,5,64,396,458,99,1149,1,14,0,2,46,5522,41,3,33,106,1,70,12,91,87,0,177,17,6,1,7,657
cell54,83,591,336,56,135,18,60,13,16,18,1,35,4,13,34,17,1,19,0,91,52,38,2,6,42,28,52,2,10,17,39,3,202,40,0,0,9,33,3,15,4,1,31,1,23,3,23,17,4,46,12,0,1,698,2,14,17,0,1,0,31,0,1,40,46,15,22,4,11,15,11,22,0,3,104,34,14,78,4,8,4,52,0,24,10,259,11,20,46,1,1,0,7,163,1,0,9,0,4,7,17,156,3,0,9,7,130,1,36,10
cell55,27,43,351,34,149,3,51,30,12,121,7,432,66,26,217,77,171,259,0,3,6,388,1,27,20,7,1,6,65,22,6,2,11,13,35,0,2,859,43,14,6,56,13,33,110,4,0,72,8,547,7,0,22,305,30,94,96,0,182,24,8,0,4,58,76,235,335,50,3,10,635,239,0,42,9,41,65,60,217,163,159,433,3,91,385,376,248,867,59,29,0,1,68,6793,86,3,79,19,1,78,18,78,13,0,113,18,8,1,14,162
cell56,1,137,434,2,384,20,88,14,3,7,1,35,7,26,55,22,7,24,0,32,53,31,0,10,1,42,16,1,15,3,71,4,202,52,3,0,32,33,12,24,4,4,26,1,25,1,12,27,3,52,22,0,14,557,2,25,50,0,15,1,30,0,2,19,58,43,31,13,13,14,42,24,0,4,57,27,24,87,34,3,7,38,3,18,11,360,16,7,17,10,0,0,12,274,2,2,16,9,4,22,7,296,6,0,9,5,133,2,47,19
cell57,129,86,390,49,319,12,126,42,2,7,6,29,4,3,61,17,2,31,0,87,55,44,0,8,22,27,20,2,20,8,69,6,214,38,1,0,20,36,12,17,3,4,32,10,21,1,13,23,5,56,12,0,7,411,10,15,57,0,10,11,22,0,2,16,43,8,28,16,14,5,9,22,0,2,77,35,2,242,19,1,1,51,2,20,26,184,11,53,52,6,0,2,8,221,8,6,9,2,6,22,15,181,3,0,11,2,167,0,12,12
cell58,1,95,115,7,128,15,21,1,4,15,21,56,9,23,101,31,20,63,1,5,6,58,0,15,14,3,0,2,30,22,5,2,22,9,5,36,5,162,20,21,11,5,13,9,67,8,3,16,1,98,6,2,9,96,23,39,15,0,57,16,3,0,0,11,14,36,73,26,4,12,92,55,0,8,4,24,12,25,65,5,5,212,0,10,44,35,14,42,104,7,10,1,14,1214,18,1,19,22,4,6,87,1477,4,0,7,14,3318,13,13,18
